island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,jaccard_0,jaccard_1,jaccard_2,jaccard_3,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,natural_col
0,42980,0.9214673155671805,65,0.2472080037226617,0.7672374085285483,0.7622549474124375,0.7664266528493641,-0.0008107556791841608,-0.00498246111611087,0.0028367793401967768,0.004114866772360582,0.0028874162100795938,0.0011853436865009003,0.005207235282958649,0.7672374085285482,0.7622549474124375,0.7664266528493642,-0.0008107556791841164,-0.0049824611161108255,0.002836779340196798,0.004114866772360574,0.0028874162100796263,0.0011853436865009554,0.005207235282958655,0.8402745463006049,0.8395300139599813,0.8374360167519777,-0.002838529548627311,-0.0007445323406235716,0.0028685034913768994,0.0014726144623961384,0.0024859395791890196,0.0007841926266334548,0.003115123613455303,0.36870977440374875,0.783962994655994,0.16907570383895393,0.01397995506451799,0.23161487971284545,0.11043610488316576,0.2305996420444519,0.09162094539632233,1.0,1.0,1.0,1.0,1,census,natural,0.2,0.2,5,0.0,native-country
1,2011,0.04311472246639367,65,0.08055693684733964,0.6981637466307278,0.7316206199460916,0.7139487870619946,0.01578504043126685,0.033456873315363886,0.015521396501449429,0.0440872008072615,0.01894903014048704,0.01573783779998321,0.038741939098355174,0.6981637466307278,0.7316206199460916,0.7139487870619946,0.015785040431266873,0.033456873315363914,0.015521396501449432,0.04408720080726151,0.01894903014048709,0.01573783779998323,0.0387419390983552,0.9384615384615385,0.9369727047146401,0.9359801488833746,-0.002481389578163773,-0.0014888337468982771,0.005298798139965928,0.008094047856228331,0.0028937726525286667,0.0044388446203470185,0.009623185821173847,0.31680292025729956,0.08667172979984704,0.2449385970858584,0.8510337657610846,0.2462762813587959,0.04829863194685144,0.19198220129804602,0.013995872492217037,1.0,1.0,1.0,1.0,1,census,natural,0.2,0.2,5,0.0,native-country
2,910,0.01950989430353965,65,0.2989010989010989,0.7552372685185185,0.7608217592592592,0.7519097222222222,-0.003327546296296324,0.0055844907407407215,0.04710328215088779,0.023298376811116028,0.045139946123658736,0.0035650214887179284,0.06286381912868562,0.7552372685185185,0.7608217592592592,0.7519097222222222,-0.003327546296296302,0.0055844907407407215,0.04710328215088779,0.023298376811116028,0.04513994612365873,0.0035650214887178997,0.06286381912868562,0.8032967032967033,0.8186813186813187,0.7956043956043957,-0.0076923076923076875,0.015384615384615396,0.044691647049808256,0.015540808377726303,0.04359743829643378,0.005603318146805273,0.04132218830101796,0.29788330914441924,0.13457922238767875,0.24431576584657028,0.021578013084642574,0.23987643651422746,0.7594780105676203,0.21792448849478313,0.08436475396005841,1.0,1.0,1.0,1.0,1,census,natural,0.2,0.2,5,0.0,native-country
3,742,0.015908067662886178,65,0.29784366576819404,0.7227705627705627,0.7751948051948052,0.7230735930735932,0.00030303030303029387,0.052424242424242415,0.012660876076522335,0.039004389062611465,0.020531235787458416,0.020338651036840776,0.05149639514488056,0.7227705627705628,0.7751948051948052,0.7230735930735931,0.0003030303030303161,0.05242424242424244,0.012660876076522356,0.039004389062611465,0.020531235787458427,0.02033865103684091,0.05149639514488059,0.7879194630872484,0.8134228187919463,0.7771812080536912,-0.010738255033557053,0.025503355704697993,0.015067076725264208,0.024161073825503365,0.018207597270134924,0.01565356213381288,0.027311395905202433,0.3076237370497297,0.09515273115810977,0.3010561829245224,0.06330934591645712,0.2053048571027365,0.07058745246731356,0.18601522292301143,0.7709504704581195,1.0,1.0,1.0,1.0,1,census,natural,0.2,0.2,5,0.0,native-country
