island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,imp_on_validation_10,imp_on_pooled_10,imp_on_validation_11,imp_on_pooled_11,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,jaccard_10,jaccard_11,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,natural_col
0,5860,0.06115888786841446,38,0.15921501706484642,0.8024034311463396,0.9494562827438313,0.8449610467167947,0.04255761557045519,0.14705285159749182,0.023252837313696498,0.007204638036674805,0.02483157560197449,0.013081122496629818,0.022351249460873693,0.8024034311463396,0.9494562827438312,0.8449610467167947,0.04255761557045521,0.1470528515974918,0.023252837313696522,0.0072046380366748205,0.024831575601974527,0.013081122496629748,0.022351249460873718,0.9329351535836178,0.9718430034129693,0.9440273037542661,0.011092150170648463,0.03890784982935154,0.007643070196777688,0.004610667606179638,0.008405194782269452,0.00479640591213488,0.009495172520985362,0.08114694278148467,0.35086214163044743,0.030799360083820542,0.01932094067994215,0.11790056502199257,0.08736980881360375,0.011965668590912125,0.0020723449043192343,0.13017439453493013,0.10475742502252954,0.036052667150715784,0.017767111384906543,0.042219475017651345,0.025415951004646407,0.1635512665645818,0.1494983026528846,0.1372362299409054,0.08667308290806361,0.03684589732133251,0.011153378967593709,0.19912346406204628,0.14216219043501271,0.01298406892962673,0.002947321596050312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
1,5376,0.056107539450613676,38,0.2825520833333333,0.8949686392146168,0.9478405372238885,0.9118063130624489,0.016837673847832125,0.052871898009271875,0.009070585348794175,0.01045147714619385,0.012084710454041714,0.0052204827493111915,0.0077149973969548495,0.894968639214617,0.9478405372238887,0.9118063130624489,0.01683767384783206,0.0528718980092719,0.009070585348794189,0.010451477146193811,0.01208471045404174,0.00522048274931124,0.007714997396954863,0.9351301115241636,0.962639405204461,0.9412639405204463,0.006133828996282542,0.02750929368029742,0.005103914579087721,0.009132430108950361,0.006712070663668325,0.003031506771431239,0.006969640616822546,0.0626733582091041,0.017194150696210133,0.08498950274629538,0.35980969136626945,0.14015026661165242,0.1090116371005488,0.010931235191573132,0.0021621289579434808,0.0652127098970484,0.02140889028561678,0.25729183498211083,0.20640515613420335,0.018290362060085382,0.0041146128859490694,0.15624276946647925,0.13900478823316587,0.07537017226570061,0.0701327231581327,0.016568456247120618,0.0035428999744740236,0.09895173882993255,0.06380046111319383,0.013327593492897341,0.0034128600942925436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
2,7833,0.08175043834015196,38,0.21971147708413125,0.8782155013405845,0.9546504497138184,0.8961750556199964,0.017959554279412027,0.07643494837323399,0.021666711288179322,0.010933731785978552,0.01941548041382494,0.010151539662447799,0.0167887182535128,0.8782155013405845,0.9546504497138184,0.8961750556199967,0.017959554279412003,0.0764349483732339,0.021666711288179343,0.010933731785978534,0.019415480413824945,0.010151539662447808,0.016788718253512847,0.9423101467772813,0.9712827058072749,0.9488194001276324,0.006509253350351019,0.028972559029993628,0.009375554650775721,0.005215779640511183,0.008603599002605086,0.004428679405972557,0.008257728714548475,0.11436444326577418,0.08025664149475378,0.06098542918866958,0.04362957040247848,0.2147291339431273,0.368951816121288,0.012840288657257615,0.0021226263573526703,0.11734038909927895,0.11507893787158167,0.04583886490616061,0.029869433324176676,0.012627667226020559,0.0023544445423861037,0.18131374441740564,0.17774843665887918,0.09250606455070995,0.0775359021114143,0.014522322989164532,0.00244366326420339,0.1200253568304022,0.09714552471209542,0.012906294926028922,0.0028630031393904447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
3,5709,0.05958295065542289,38,0.14941320721667542,0.7875205521527815,0.9099336910763004,0.8121590450551371,0.024638492902355515,0.12241313892351888,0.0056946703603455735,0.015229410797594958,0.005526356404005697,0.0016049128313409275,0.011954875489236077,0.7875205521527815,0.9099336910763004,0.812159045055137,0.02463849290235547,0.12241313892351886,0.005694670360345498,0.015229410797594942,0.0055263564040056576,0.001604912831340902,0.011954875489236074,0.9311733800350263,0.9549912434325745,0.9329246935201401,0.001751313485113859,0.02381786339754819,0.003528798893101536,0.0028563058546935264,0.002802101576182153,0.000959233901059804,0.0020272919269334676,0.0911722507371496,0.030003217768931667,0.0642549661824867,0.03927176875195711,0.06266099838961683,0.046959717040674684,0.03589234394061532,0.39017108330288847,0.1783246848447893,0.12814214039290645,0.11278412079941483,0.10055399858801098,0.05654945918331973,0.014098844731972366,0.1343661631596942,0.07476705128538211,0.11414548494088565,0.1234942729130836,0.027112281653256975,0.004698647561155297,0.07197797825224621,0.03939099284044964,0.05075926791652467,0.008448264822587693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
4,7794,0.08134340819904817,38,0.18206312548113934,0.8446666666666666,0.957139188069594,0.8489687931510632,0.004302126484396607,0.1124725214029273,0.017237938461191343,0.006482570030021087,0.016656388545619648,0.005780931892181932,0.015367288800071889,0.8446666666666666,0.9571391880695941,0.8489687931510632,0.004302126484396607,0.11247252140292738,0.017237938461191316,0.006482570030021045,0.016656388545619655,0.005780931892181869,0.015367288800071884,0.93662604233483,0.9733162283515073,0.9373957665169981,0.0007697241821680966,0.036690186016677374,0.007744137664034164,0.003052053175976977,0.007431814423584482,0.002379376137394641,0.006157793457344483,0.1547534351923375,0.10635462374910808,0.04704064654928244,0.03137473389277715,0.17321114917769642,0.11339557943809873,0.009673197651665764,0.0016884974449673472,0.043292627463746035,0.3943080864963629,0.027787094918370486,0.015209001866028754,0.03341235154140532,0.016676974124405712,0.18519798229191464,0.1007947099842461,0.15348112776157463,0.0931870694440023,0.020966613164406234,0.0023391499548155686,0.1412778555012149,0.12308441369171493,0.009905918786385437,0.0015871599134722816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
5,6466,0.06748351006095016,38,0.28069904113826166,0.9098037301044821,0.953403283888588,0.923212695256441,0.013408965151958973,0.04359955378410603,0.011856711873028369,0.005990741448426051,0.010584538139831285,0.003173168617033612,0.010021558783729864,0.9098037301044821,0.953403283888588,0.923212695256441,0.013408965151958996,0.04359955378410605,0.011856711873028372,0.005990741448426068,0.010584538139831304,0.003173168617033637,0.01002155878372988,0.9420401854714064,0.9602782071097373,0.9451313755795981,0.003091190108191655,0.01823802163833075,0.006647855693232327,0.005564142194744953,0.005464503718597746,0.0022924879403696135,0.00811400602683565,0.04585350193838722,0.01572266265382904,0.193831755802244,0.16122750196648603,0.09638665628643438,0.07602559569572363,0.0127097193319855,0.0028513782407013234,0.050681327723056314,0.018180558365358958,0.20156832168085925,0.43935797318476827,0.022358007063865593,0.005690369498810627,0.12484944084987096,0.10471721513468786,0.10769655432895724,0.07098779224926585,0.01914438059202073,0.004068943647256737,0.11129976158507851,0.09830741335381059,0.013620572817240328,0.00286259600930113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
6,9230,0.09633046672789514,38,0.17486457204767064,0.7406611523207618,0.84591760193036,0.7926556474613206,0.05199449514055887,0.10525644960959817,0.011243975299654308,0.010446304518889213,0.016198231608093437,0.013542599513760778,0.010623608865342268,0.7406611523207618,0.8459176019303598,0.7926556474613207,0.05199449514055889,0.10525644960959812,0.011243975299654345,0.010446304518889196,0.016198231608093444,0.013542599513760795,0.010623608865342254,0.9045503791982666,0.9228602383531961,0.9166847237269773,0.012134344528710695,0.018309859154929553,0.0035340208949729136,0.00648788945680602,0.005967687694006666,0.004190483121519749,0.005591977421696192,0.075413452595115,0.050290363510878136,0.04854591711291422,0.02055790569969651,0.03910398764628777,0.004806262210114478,0.03976544925581314,0.005102942515647548,0.07439513795858159,0.04043256615946451,0.05602384928685652,0.024301153043095346,0.2475121797310555,0.6022711685938231,0.07276569908833626,0.04297401394834486,0.13230277978773086,0.08944414201505363,0.03724941261600137,0.0050678218152367775,0.1322588616840016,0.1027210346353034,0.04466327323730612,0.012030625853341689,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
7,11328,0.11822660098522167,38,0.1940324858757062,0.8682146768893759,0.9571084337349397,0.8872152245345017,0.01900054764512593,0.08889375684556408,0.008198608783190273,0.001808128986923643,0.006337530791794188,0.004305718535949075,0.007173776985803116,0.8682146768893759,0.9571084337349397,0.8872152245345017,0.019000547645125952,0.08889375684556408,0.008198608783190273,0.001808128986923643,0.006337530791794153,0.004305718535949009,0.007173776985803116,0.942188879082083,0.9720211827007944,0.9469549867608119,0.004766107678729004,0.029832303618711364,0.004054257397301264,0.002043395746300114,0.004495262693114506,0.0019215835001833335,0.0026858118366642407,0.1284735142222202,0.10851342678902613,0.04318233429908916,0.03323348276393662,0.1545130002539975,0.1597910633021253,0.012001758023203121,0.0016059496221475726,0.18440366229374916,0.07833097065112475,0.032641920561335455,0.020045784116084143,0.03534147243670855,0.014098229731130832,0.1344887717521686,0.39988367071751657,0.10096106951914206,0.0832917748733555,0.020437972852083004,0.00233025396734882,0.13762505088243832,0.09619292320354283,0.015929472903864757,0.0026824702626608563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
8,9218,0.09620522668447859,38,0.22206552397483184,0.8192624144893212,0.9220418629614169,0.8366289837540359,0.017366569264714648,0.1027794484720956,0.015520054094721788,0.009408068858413481,0.024042464218197498,0.011132622928677935,0.016627529127156974,0.8192624144893212,0.9220418629614168,0.8366289837540359,0.017366569264714603,0.1027794484720956,0.015520054094721776,0.009408068858413506,0.024042464218197467,0.011132622928677963,0.016627529127156936,0.9121475054229935,0.948590021691974,0.916594360086768,0.004446854663774436,0.0364425162689805,0.006588434945113848,0.0037320283154198036,0.009544468546637737,0.004078437240122157,0.008169843637859652,0.09150436058100907,0.07039134091848803,0.05280045172395196,0.02833578742607139,0.044047374795764996,0.01784876764582955,0.019617940611912372,0.002565024750643196,0.1441699157229777,0.11040400020783563,0.08288184893228645,0.05222030508225715,0.13487278424431112,0.0704826757139946,0.08935260467097814,0.0574043851505861,0.12501306493683223,0.4707413300888608,0.02713370374770548,0.004147626684665669,0.164553668734995,0.11216280857546883,0.024052281297275383,0.0032959477552990946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
9,5032,0.052517324872672626,38,0.23231319554848967,0.8776804767749141,0.9744302915713007,0.9025729481098175,0.02489247133490342,0.09674981479638664,0.018841777014776736,0.00642259380548094,0.011538473789499883,0.010523810100493643,0.019592877721461382,0.8776804767749139,0.9744302915713007,0.9025729481098175,0.02489247133490342,0.09674981479638659,0.01884177701477677,0.0064225938054809405,0.011538473789499822,0.010523810100493641,0.01959287772146137,0.936643495531281,0.9813306852035749,0.9455809334657397,0.008937437934458803,0.044687189672293945,0.009717680097497575,0.00316531826226602,0.006805100972795161,0.004985064706260606,0.00931562216449539,0.15412764536488807,0.11670928393721788,0.06752484733259505,0.011583092680147683,0.1507261018400156,0.11836564994619478,0.007264551438437368,0.0016594604701566846,0.1892070714170158,0.1610353168327397,0.06378280007323685,0.020508541750841016,0.026041559807598934,0.0023574252163007367,0.14008942966235408,0.09974785148054872,0.06947638281101477,0.02262017744168465,0.008963712375235751,0.35332660959850953,0.116158265145287,0.09073520040932093,0.006637632732320868,0.0013513902363377194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
