island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,jaccard_0,jaccard_1,jaccard_2,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,natural_col
0,212621,0.4320555154791055,50,1.5883379346348667,0.9639491233320964,0.9589390646451552,0.9645609919118844,0.0006118685797879663,-0.005010058686941399,0.00144712701184871,0.0012431895695686158,0.0013959944133578653,0.00037744597607578293,0.0017513021740312607,0.9639491233320964,0.9589390646451552,0.9645609919118844,0.0006118685797879442,-0.005010058686941377,0.001447127011848742,0.0012431895695685872,0.0013959944133578434,0.0003774459760757941,0.0017513021740312741,0.9667677836566725,0.9605173427395648,0.9672051734273956,0.0004373897707231178,-0.006250440917107603,0.0012061818811705764,0.0011168290982218009,0.0011213356476488308,0.00022189537659422353,0.0015516291151292986,0.7959754330083422,0.8726067047311321,0.044414388634509874,0.007007610798681035,0.1596101783571478,0.1203856844701868,1.0,1.0,1.0,6,covertype,natural,0.2,0.2,5,0.0,Wilderness.Area
1,27580,0.05604381089785924,50,1.3257795503988397,0.9723977236118337,0.9686933631879968,0.9728253731122185,0.00042764950038480797,-0.0037043604238368834,0.0026258974255110048,0.0023598001384312756,0.002965159259910916,0.0004227949736876816,0.0024990860051778705,0.9723977236118337,0.9686933631879968,0.9728253731122185,0.0004276495003847858,-0.003704360423836861,0.0026258974255110048,0.002359800138431296,0.002965159259910928,0.00042279497368767437,0.0024990860051778896,0.9770123277737491,0.9724437998549675,0.9770848440899202,7.251631617113396e-05,-0.004568527918781729,0.0018608596693772662,0.0020510711564511726,0.0019034669685868868,8.881398632280727e-05,0.002200723844161506,0.04844926837309727,0.01686864455698987,0.9134981863664636,0.9727096528272009,0.03805254526043902,0.010421702615809311,1.0,1.0,1.0,6,covertype,natural,0.2,0.2,5,0.0,Wilderness.Area
2,251914,0.5119006736230353,50,1.580344879601769,0.9572480573785453,0.9514374310158052,0.9576921397663867,0.00044408238784134915,-0.005810626362740057,0.0009045129456710348,0.0007322831822477115,0.0007047214556257963,0.0008650546918864678,0.0005974513424853068,0.9572480573785451,0.951437431015805,0.9576921397663867,0.0004440823878413047,-0.005810626362740145,0.0009045129456709954,0.0007322831822477714,0.0007047214556257794,0.0008650546918864113,0.0005974513424852459,0.9602405573308458,0.9529047496179267,0.960617668658079,0.0003771113272333926,-0.007335807712919062,0.0008768578273004012,0.0009023645233249025,0.0006873702898807578,0.00046258959194828755,0.0005050283291278335,0.1407026914717985,0.08938042463908187,0.052118209645911226,0.007397409485952737,0.8071790988822902,0.9032221658749654,1.0,1.0,1.0,6,covertype,natural,0.2,0.2,5,0.0,Wilderness.Area
