island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,alpha,c_clients,y
0,2036,0.021249060699674374,38,0.01424361493123772,0.5,0.782089552238806,0.6323383084577114,0.13233830845771144,0.28208955223880594,0.0,0.03930348258706467,0.11274887627493177,0.11274887627493177,0.03930348258706467,0.5,0.782089552238806,0.6323383084577114,0.1323383084577114,0.28208955223880594,0.0,0.03930348258706467,0.11274887627493174,0.11274887627493174,0.03930348258706467,0.9852941176470589,0.9911764705882353,0.9872549019607844,0.001960784313725461,0.00588235294117645,0.0,0.0019607843137254832,0.0032515929317209987,0.0032515929317209987,0.0019607843137254832,0.057431875452328286,0.5724127830728939,0.13475493384022916,0.051427786711619364,0.07462704330993418,0.05266156412990621,0.05465180990242637,0.011505648760862616,0.13456973079609352,0.03295251460634273,0.23456462612049553,0.12236527892645332,0.010014237393324979,0.0015829943361908197,0.08475145324351183,0.024366277132480355,0.08290401906062154,0.051839677321455876,0.13173027088103453,0.07888547500179485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,1.0,10,0
1,2036,0.021249060699674374,38,0.5795677799607073,0.8579128892392591,0.8983346472211272,0.862761135199054,0.004848245959794983,0.04042175798186824,0.013125591100713,0.013438579463866123,0.014539763215614189,0.003269234951309717,0.0046856083070454975,0.8579128892392591,0.8983346472211273,0.862761135199054,0.004848245959795073,0.04042175798186835,0.013125591100713024,0.013438579463866103,0.014539763215614225,0.00326923495130977,0.0046856083070455235,0.8700980392156863,0.902450980392157,0.8720588235294118,0.0019607843137255053,0.032352941176470605,0.011178190442148397,0.013985630017340312,0.012535992012298408,0.0028583097523751408,0.005882352941176484,0.015462209568620275,0.0014045510395826774,0.06282173055799198,0.5566379447796856,0.14023364579188854,0.04283244535612056,0.07065929813638294,0.01828975191353553,0.212340891109447,0.10551673337238818,0.16499115128669214,0.14111367633908878,0.008073047217938195,0.0008708910792205876,0.11732304941484921,0.04905891807396393,0.04593880999547823,0.008984445322567902,0.1621561669207114,0.0752906427238462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,1.0,10,0
2,2036,0.021249060699674374,38,0.26964636542239684,0.8070530811470409,0.8644417327638804,0.8202867602196461,0.013233679072605243,0.05738865161683952,0.028077585966815078,0.01861373425844217,0.023640886404428216,0.009134626732963159,0.018628785430818768,0.8070530811470409,0.8644417327638804,0.8202867602196461,0.013233679072605243,0.05738865161683952,0.0280775859668151,0.018613734258442153,0.023640886404428213,0.009134626732963188,0.01862878543081881,0.8823529411764707,0.9,0.8799019607843137,-0.002450980392156854,0.017647058823529415,0.016623357801777598,0.010444743016011037,0.019607843137254912,0.0072707828304859855,0.010329072306718362,0.020430680169682917,0.0031636973783865825,0.18000244701189166,0.0961281146109936,0.04023425824968559,0.49057452042421235,0.05880516239122439,0.012521968055352849,0.14444785321506853,0.09149484613871542,0.20055141184650518,0.10891328312373293,0.009025346734454143,0.0019044182592520922,0.1484231207227931,0.06382804258476206,0.0465258448612205,0.010575897039142912,0.15155387479747393,0.12089521238544909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,1.0,10,1
3,2036,0.021249060699674374,38,0.8659135559921415,0.7710275560133917,0.8661653360803502,0.7957507082152975,0.024723152201905706,0.09513778006695858,0.039248524590258835,0.03834672532894084,0.03755736178138413,0.007545720867801505,0.031888120429119766,0.7710275560133917,0.8661653360803502,0.7957507082152975,0.024723152201905775,0.09513778006695858,0.03924852459025883,0.038346725328940824,0.03755736178138412,0.007545720867801421,0.031888120429119725,0.9357843137254902,0.9490196078431372,0.9387254901960784,0.002941176470588247,0.013235294117647078,0.011433239009500582,0.013985630017340333,0.012106950034537736,0.001834145777830351,0.010117533059093275,0.016679134610312896,0.002985969251841491,0.15126307230981212,0.07790314859152506,0.07754536207343261,0.04046404956717701,0.10479082164950695,0.5098531663624534,0.19507036468300776,0.08577283513251968,0.17858595545291592,0.14749517930335165,0.007262900228053165,0.002132955134769508,0.11257152688744362,0.05430783250491544,0.05855756827418921,0.014698130369210628,0.09767329383132577,0.06438673378223614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,1.0,10,1
4,2036,0.021249060699674374,38,0.3330058939096267,0.8397058823529413,0.8933823529411764,0.843014705882353,0.003308823529411731,0.053676470588235256,0.01879679857524151,0.015940796609322676,0.010819072771736863,0.010930932902440117,0.014114966044450448,0.8397058823529413,0.8933823529411764,0.8430147058823529,0.003308823529411775,0.053676470588235284,0.018796798575241504,0.015940796609322638,0.010819072771736899,0.010930932902440082,0.014114966044450315,0.8794117647058822,0.9044117647058822,0.8769607843137255,-0.002450980392156854,0.025,0.015454787029837705,0.011600156437450224,0.009730114333960361,0.008630792579244638,0.013985630017340333,0.02395915686361445,0.002237716863446598,0.09880144143874198,0.05623481571905812,0.12456913103171,0.0669412193128026,0.10700651828323046,0.018965338010648144,0.06431914436600708,0.5371993241013376,0.18369770667993696,0.1206098152317688,0.007290227899088865,0.0007415927367018767,0.1294687702026403,0.05304921795334364,0.07231803560114301,0.01691774494176953,0.18856986763388692,0.12710321512912298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,1.0,10,0
5,2036,0.021249060699674374,38,0.7259332023575639,0.8365106177606177,0.9001206563706564,0.8468146718146718,0.010304054054054101,0.0636100386100386,0.022157845228527057,0.013750041503357305,0.019752977212286884,0.007918073749770167,0.014099852056982779,0.8365106177606177,0.9001206563706564,0.8468146718146718,0.010304054054054036,0.06361003861003858,0.022157845228527075,0.013750041503357242,0.01975297721228688,0.00791807374977013,0.01409985205698274,0.9004901960784313,0.9235294117647059,0.8985294117647058,-0.0019607843137255053,0.023039215686274494,0.014425430362315833,0.008958660236518189,0.015392469086379977,0.009479940983242025,0.013567012257939265,0.014796755439029034,0.0017557806023105048,0.13420574819077508,0.06938112795316874,0.12076444241938869,0.04714464192942811,0.09071686429840756,0.03206404176137441,0.16831844543233832,0.1319739598059739,0.052384408829014587,0.5076890638054802,0.008433510396776284,0.0012818521978720163,0.1641264567092082,0.09095817161351923,0.04317096768848503,0.008416943229716329,0.20308240059657723,0.10933441710115666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,1.0,10,0
6,2036,0.021249060699674374,38,0.9941060903732809,0.5,0.6995073891625616,0.7,0.2,0.19950738916256155,0.0,0.18760972345038815,0.18708286933869706,0.18708286933869708,0.18760972345038812,0.5,0.6995073891625616,0.7,0.2,0.19950738916256155,0.0,0.18760972345038815,0.18708286933869706,0.18708286933869708,0.18760972345038812,0.9950980392156863,0.996078431372549,0.9970588235294118,0.0019607843137254832,0.0009803921568627416,0.0,0.002941176470588225,0.0018341457778303567,0.0018341457778303567,0.002941176470588225,0.009756641960667355,0.02123181787806038,0.1983667183452078,0.0739499150667963,0.07779445114185624,0.0809516192999663,0.11665794053340457,0.03522788439855871,0.17693968368216464,0.13748661117544794,0.11683150218536804,0.09967518073007246,0.03812695088349244,0.38771649319323126,0.08254941710962946,0.030316421587314173,0.07083566940727679,0.04151631831482686,0.11214102475093268,0.09192773835572533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,1.0,10,0
7,2036,0.021249060699674374,38,0.3614931237721022,0.8485182578778637,0.8997497849714599,0.8519978106185004,0.0034795527406364713,0.051231527093596,0.015811452055328624,0.011130197055890394,0.017903632910768554,0.00415795781226999,0.01078597793538433,0.8485182578778637,0.8997497849714599,0.8519978106185004,0.0034795527406365156,0.05123152709359606,0.015811452055328606,0.011130197055890394,0.017903632910768585,0.00415795781226996,0.01078597793538434,0.875,0.9112745098039217,0.8745098039215687,-0.0004901960784313708,0.03627450980392155,0.011600156437450252,0.007964743533956795,0.013985630017340305,0.004752627311192463,0.007001400420140071,0.016998083506007074,0.001851423428187829,0.14437896433106298,0.07279964930360011,0.14275729525549832,0.07424560817586019,0.07542983191422667,0.012833944504015826,0.22294793649973807,0.14414535956735103,0.14305328139783596,0.10884310756189301,0.004463440862835324,0.0007136105306946034,0.05013078884503719,0.47904580633304905,0.05235669026362192,0.010474082061274464,0.1474836871241366,0.09504740853407385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,1.0,10,0
8,2036,0.021249060699674374,38,0.21218074656188604,0.760865828767859,0.8738317757009344,0.7955097217746268,0.03464389300676762,0.11296594693307542,0.024610974043495257,0.010568799892568497,0.020369986820863252,0.018846616520188895,0.022434742110308995,0.760865828767859,0.8738317757009346,0.7955097217746268,0.034643893006767644,0.11296594693307552,0.02461097404349528,0.010568799892568492,0.020369986820863297,0.01884661652018891,0.022434742110309016,0.8887254901960784,0.9161764705882354,0.8931372549019608,0.004411764705882337,0.02745098039215683,0.01365528262469031,0.008546860673609167,0.010117533059093298,0.008405111862491267,0.015061070093859999,0.02269702420100731,0.00347428115924274,0.24245622272948736,0.1579546703173239,0.09925740271527378,0.030015088319123716,0.07135238915856278,0.01994779709440468,0.1467404562506432,0.13157378888672228,0.1040170152596599,0.06490970430715558,0.009091826349491816,0.0012417752277426564,0.09344581942613531,0.021172533018436464,0.04565791923790047,0.4970157606470947,0.16528392467183817,0.07269460102275349,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,1.0,10,0
9,2036,0.021249060699674374,38,0.3344793713163065,0.8132352941176471,0.8930147058823529,0.8169117647058822,0.003676470588235348,0.07977941176470593,0.02519388485148799,0.010489222513005292,0.019053909588014638,0.011567744648935601,0.03103516116236071,0.8132352941176471,0.8930147058823529,0.8169117647058822,0.003676470588235303,0.07977941176470589,0.025193884851487967,0.010489222513005228,0.019053909588014624,0.011567744648935507,0.031035161162360696,0.8544117647058824,0.903921568627451,0.8514705882352942,-0.002941176470588247,0.04950980392156858,0.019766514856525426,0.012047260517102455,0.014341900821889993,0.01044474301601103,0.026777451536760102,0.018228268265924896,0.0023577592500297834,0.08457362421649366,0.03539494838684007,0.15395856617555198,0.0816691134734582,0.10154205764889387,0.020461521860532673,0.21141566333738404,0.16941543606195242,0.1580237571300576,0.10015325489454288,0.0046792783477412015,0.0007748053105455725,0.10245709272008152,0.07452044905767248,0.08556425687037915,0.02250807257456759,0.0795574352874923,0.49274463912985833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,1.0,10,0
