island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,alpha,c_clients,y
0,1128,0.024183693158673327,65,0.9858156028368794,0.5,0.6315396113602392,0.5991031390134529,0.09910313901345295,0.13153961136023917,0.0,0.1224515441072802,0.08093393997767864,0.08093393997767864,0.1224515441072802,0.5,0.6315396113602392,0.5991031390134529,0.09910313901345288,0.13153961136023914,0.0,0.1224515441072802,0.08093393997767859,0.08093393997767859,0.1224515441072802,0.9867256637168141,0.9867256637168141,0.9876106194690266,0.0008849557522123908,0.0,0.0,0.0027984758054587474,0.0033112012272335815,0.0033112012272335815,0.0027984758054587474,0.07336886413357266,0.5751416952526716,0.10542585217001099,0.027911890395669298,0.10390546688301372,0.07518113320064297,0.15679295744518723,0.05359788258362479,0.16998041169874767,0.10668225919345212,0.08002219572900339,0.029415690002376437,0.007528430652141966,0.0038208670560946683,0.0955115351258741,0.041553142666191756,0.09455018237094635,0.026148588751929165,0.11291410379150194,0.060546850897347126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,census,dirichlet,0.2,0.2,5,0.0,1.0,10,0
1,1128,0.024183693158673327,65,0.17375886524822695,0.7188811188811189,0.753599341834636,0.7232551761963527,0.004374057315233793,0.03471822295351708,0.047516300035234126,0.031429597598257523,0.04327965113822467,0.007063815323472723,0.026526766977659124,0.7188811188811189,0.753599341834636,0.7232551761963526,0.00437405731523377,0.03471822295351708,0.04751630003523417,0.031429597598257544,0.04327965113822469,0.00706381532347273,0.026526766977659103,0.8672566371681416,0.8743362831858408,0.8610619469026549,-0.006194690265486735,0.007079646017699104,0.012824227209017222,0.015225354454942693,0.01140185728028774,0.004512406649197162,0.007189414517376948,0.020491106607336457,0.003443719782245047,0.11879576907835498,0.660331534038906,0.15205580707916694,0.06909932384575183,0.09577073201748076,0.042675009872235825,0.12669071529229556,0.04018761303330144,0.053881814509184424,0.01076420537214606,0.08355946672828198,0.018294584035458215,0.11722806966375147,0.054170587959760555,0.109321017840785,0.052653039670828204,0.12220550118336246,0.04838038238936688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,census,dirichlet,0.2,0.2,5,0.0,1.0,10,0
2,1128,0.024183693158673327,65,0.6170212765957447,0.8076738609112709,0.8020755809145786,0.8024890432481602,-0.005184817663110808,-0.005598279996692268,0.021364388957114754,0.010022927355379256,0.019116058864471708,0.008348524305721335,0.014992411036746114,0.8076738609112709,0.8020755809145786,0.8024890432481602,-0.005184817663110852,-0.005598279996692268,0.02136438895711476,0.01002292735537925,0.01911605886447167,0.00834852430572137,0.014992411036746114,0.8247787610619468,0.8221238938053096,0.8168141592920353,-0.007964601769911494,-0.0026548672566371724,0.01868912573623262,0.010619469026548646,0.01761039711693131,0.007612677227471335,0.013879988620670884,0.04901729686224071,0.007883827114459587,0.0751646507873521,0.031163867215065554,0.12191262399283229,0.5746187235788252,0.11838478184838046,0.04673122668354649,0.1328915371381661,0.06965197702700954,0.04923404551190337,0.01060423492949542,0.030224548158859787,0.0050285785093522484,0.16332050375437884,0.11932509482006397,0.10239680367288569,0.040209985172247074,0.1574532082730007,0.09478248494993506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,census,dirichlet,0.2,0.2,5,0.0,1.0,10,0
3,1128,0.024183693158673327,65,0.3448581560283688,0.7585412335412336,0.7496881496881497,0.766094941094941,0.007553707553707456,-0.00885308385308392,0.018118738026853813,0.013764570894751265,0.024589406305479376,0.008389566967272302,0.012057813775374087,0.7585412335412336,0.7496881496881496,0.7660949410949411,0.007553707553707545,-0.008853083853083898,0.018118738026853792,0.0137645708947513,0.02458940630547942,0.00838956696727235,0.012057813775374075,0.7893805309734513,0.7769911504424779,0.7929203539823009,0.003539823008849541,-0.01238938053097347,0.013303802104754807,0.013006140227167338,0.016173156533183228,0.007612677227471348,0.005160134420217088,0.03577646130616997,0.004687634180898103,0.1469414673230968,0.07378082287543972,0.1054547768156974,0.03723570889317056,0.10981824939824236,0.6452293021957536,0.10462189018590888,0.04923075191195555,0.06631068480799637,0.009172928741812986,0.0424700059967755,0.01045428272859859,0.11074057916602265,0.053094851799331176,0.17622162234859198,0.07119138020599348,0.10164426265149817,0.045922336467046264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,census,dirichlet,0.2,0.2,5,0.0,1.0,10,0
4,1128,0.024183693158673327,65,0.8280141843971631,0.780638968874263,0.7760455231043466,0.7834087481146303,0.002769779240367409,-0.0045934457699164264,0.03868859376734443,0.039419362172680876,0.04779473202396524,0.009939346513264306,0.04646205312262092,0.780638968874263,0.7760455231043466,0.7834087481146305,0.002769779240367476,-0.00459344576991636,0.03868859376734441,0.039419362172680925,0.047794732023965225,0.009939346513264297,0.04646205312262091,0.8955752212389381,0.8946902654867257,0.8867256637168142,-0.008849557522123908,-0.0008849557522123908,0.019307455070151684,0.017565870125025827,0.021785015265648074,0.004847102278806787,0.013823450753817109,0.04949841134107829,0.008660326836879709,0.10531646805052959,0.04275921680113824,0.11212704874760906,0.0901377582233021,0.09619365775045785,0.025188852218707147,0.13542846707828177,0.6426947671489252,0.06949348590359244,0.014427282200856258,0.0464811204806255,0.007863497415630574,0.12269219152947926,0.03876148637626562,0.12127634255607085,0.057116567359195305,0.14149280656227523,0.07239024541909994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,census,dirichlet,0.2,0.2,5,0.0,1.0,10,0
5,1128,0.024183693158673327,65,0.9210992907801419,0.6362713675213676,0.7215277777777778,0.6672008547008547,0.03092948717948716,0.08525641025641024,0.05964309277050618,0.04276895022351575,0.07423330327467918,0.02089788378035414,0.04966667650285908,0.6362713675213676,0.7215277777777778,0.6672008547008547,0.03092948717948718,0.08525641025641026,0.05964309277050618,0.04276895022351573,0.07423330327467921,0.020897883780354162,0.049666676502859046,0.9283185840707965,0.945132743362832,0.929203539823009,0.0008849557522123908,0.0168141592920354,0.010244103453796675,0.011401857280287702,0.013126015021408272,0.005160134420217088,0.013537219947591477,0.07790367958439814,0.018072197284316426,0.08201467574926408,0.020823466435181653,0.13440474922354234,0.061102831018598425,0.1465198767654934,0.06233849826005426,0.12424897705366433,0.04045510239641907,0.09861454623355018,0.6501577936735199,0.026122071249922725,0.003245768314303725,0.08190486077504262,0.03174191402447943,0.09374089094072972,0.04705559120705979,0.13452567242439234,0.06500683738606733,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,census,dirichlet,0.2,0.2,5,0.0,1.0,10,0
6,1128,0.024183693158673327,65,0.013297872340425532,0.5,0.5982062780269058,0.5662182361733931,0.0662182361733931,0.0982062780269058,0.0,0.08020180730317687,0.08201988636137168,0.08201988636137168,0.08020180730317687,0.5,0.5982062780269058,0.5662182361733931,0.0662182361733931,0.0982062780269058,0.0,0.08020180730317687,0.08201988636137168,0.08201988636137168,0.08020180730317687,0.9867256637168141,0.9858407079646018,0.9876106194690266,0.0008849557522123908,-0.0008849557522123908,0.0,0.0033112012272335815,0.0033112012272335815,0.0033112012272335815,0.0033112012272335815,0.025992720386827966,0.0063854624343312434,0.23860731193329032,0.11236672839655586,0.08275610409613335,0.037589180880804006,0.09351957225213317,0.046056374325833656,0.06320284349355818,0.022530364303488395,0.02339038029056887,0.01729275346868241,0.15350554776762595,0.5978553307660124,0.07920597327889686,0.06474834920427626,0.1687534377458541,0.07045162666021408,0.07106610875511124,0.024723829559801673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,census,dirichlet,0.2,0.2,5,0.0,1.0,10,1
7,1128,0.024183693158673327,65,0.41400709219858156,0.7577530625402966,0.7935525467440361,0.7535138620245003,-0.0042392005157962705,0.035799484203739504,0.028283695850459846,0.021848960320870702,0.02449605904743913,0.00509221270422256,0.013241179975226103,0.7577530625402966,0.7935525467440361,0.7535138620245003,-0.0042392005157962705,0.035799484203739504,0.028283695850459863,0.02184896032087066,0.02449605904743913,0.005092212704222583,0.013241179975226116,0.7646017699115044,0.8017699115044248,0.7592920353982301,-0.005309734513274345,0.037168141592920347,0.027759977241341806,0.021928339280290046,0.024008247727877043,0.005160134420217088,0.012389380530973448,0.02208160036124126,0.0025852093617935094,0.12027431198442709,0.05045248578449091,0.12079823951948684,0.06252926401036782,0.07514725607964065,0.042118231037872836,0.135818060008394,0.05444169265803833,0.06099280814608734,0.008814690920544726,0.037709371640262876,0.009092561427643597,0.11796883480180698,0.612943089388144,0.16555403383192957,0.08950708778330921,0.1436554836267234,0.0675156876277951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,census,dirichlet,0.2,0.2,5,0.0,1.0,10,0
8,1128,0.024183693158673327,65,0.324468085106383,0.7895872504252843,0.8131524756021129,0.7910824603814128,0.0014952099561285515,0.023565225176828686,0.009825928658433406,0.029760861973979737,0.011469220769600177,0.0026807182262469026,0.035466361695916486,0.7895872504252842,0.8131524756021131,0.7910824603814128,0.0014952099561285736,0.023565225176828707,0.009825928658433382,0.02976086197397973,0.011469220769600236,0.0026807182262470006,0.03546636169591647,0.8256637168141593,0.8469026548672567,0.8247787610619468,-0.0008849557522123908,0.02123893805309731,0.009933603681700693,0.027218684069433098,0.01206918734246533,0.0033112012272335815,0.03183381548425651,0.02024208389139844,0.0038149792175715923,0.11733202545778561,0.053955735931801065,0.14208177081953582,0.07779660916336592,0.1427822019693568,0.08180641885877409,0.09816751429839006,0.04673362918396972,0.05902871874904353,0.014748182399245047,0.048103513887665275,0.010119411270193451,0.1273261823939437,0.06367087971804884,0.13420125829565252,0.5870692970239378,0.11073473023722831,0.06028485723309265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,census,dirichlet,0.2,0.2,5,0.0,1.0,10,0
9,1128,0.024183693158673327,65,0.6046099290780141,0.8053719347166407,0.8076191257278765,0.8021733781678012,-0.003198556548839426,0.0022471910112359383,0.017044814927513332,0.015229579664963168,0.013150762583731197,0.004885531648381943,0.01655086587192731,0.8053719347166407,0.8076191257278766,0.8021733781678012,-0.003198556548839537,0.0022471910112359162,0.017044814927513332,0.01522957966496307,0.013150762583731206,0.004885531648381941,0.016550865871927264,0.820353982300885,0.8221238938053098,0.8150442477876105,-0.005309734513274322,0.001769911504424826,0.017159928698818848,0.01263969633370413,0.01382345075381707,0.005160134420217092,0.01738662186229069,0.01875715209827875,0.003372990933838501,0.140486549498878,0.06355916051566744,0.12099287384887927,0.09034402080562279,0.12057355624818937,0.0677166585865387,0.11617550578973238,0.07028623931189944,0.04371797350772888,0.008748515292073806,0.02603466969362665,0.0038424653542773524,0.13209079639417978,0.06797690512555933,0.13551109196596303,0.04732143656290904,0.14565983095454374,0.5768316075116136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,census,dirichlet,0.2,0.2,5,0.0,1.0,10,1
