island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,alpha,c_clients,y
0,2036,0.021249060699674374,38,0.5112966601178782,0.8630184414897453,0.9050828304200428,0.8646942848212354,0.0016758433314900234,0.0420643889302974,0.015496717544258017,0.005369034536856473,0.012458529868393478,0.0057274539475006166,0.012696024124645237,0.8630184414897453,0.9050828304200429,0.8646942848212354,0.0016758433314899568,0.042064388930297424,0.015496717544258017,0.005369034536856429,0.012458529868393515,0.005727453947500592,0.01269602412464525,0.8637254901960784,0.9053921568627452,0.8651960784313726,0.0014705882352941124,0.04166666666666667,0.015624879853440415,0.0055024373334910705,0.012593365273201106,0.0055024373334910705,0.01259336527320111,0.029931252739186787,0.48401409137657414,0.10596946590097873,0.09699473729611935,0.12169857457015756,0.05556892098337277,0.1216462070678056,0.0690588507926486,0.13911102594549812,0.09483270780711762,0.1049517391658652,0.040646536818990685,0.11119708867463902,0.02811948236265455,0.13182737105136072,0.06344664338553405,0.07588747048376909,0.030055256157395037,0.05777980440073917,0.03726277301959344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,100.0,10,0
1,2036,0.021249060699674374,38,0.5422396856581533,0.8710407239819006,0.8948992184286302,0.8732620320855615,0.002221308103661057,0.023858494446729717,0.016356145908738014,0.011110348692776254,0.014135480284730884,0.0068058782007700235,0.013682060212529863,0.8710407239819006,0.8948992184286302,0.8732620320855615,0.002221308103661035,0.023858494446729737,0.016356145908738014,0.011110348692776233,0.014135480284730832,0.006805878200769968,0.013682060212529889,0.8769607843137255,0.8955882352941176,0.8779411764705882,0.0009803921568627416,0.018627450980392157,0.016579935809105658,0.011026688116864707,0.014900670738794782,0.006315734669963274,0.013024833583908263,0.0919081640829592,0.0511224444277939,0.06873492662609983,0.499097058771883,0.1488499645583412,0.0615519171238062,0.05996083282013255,0.04030699147012747,0.16020426159192722,0.10308220291601548,0.11846198949224147,0.04243055113717166,0.09244473240225336,0.034979497029685704,0.04614237799010168,0.008584671154475093,0.15243120752741104,0.1322973589202038,0.06086154290853234,0.026547307048837798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,100.0,10,0
2,2036,0.021249060699674374,38,0.47003929273084477,0.8722222222222221,0.9170717592592592,0.8675925925925926,-0.004629629629629583,0.04484953703703705,0.01330338997235355,0.011186508747879916,0.01123728753245665,0.0021025349681232965,0.006066736160174941,0.8722222222222221,0.9170717592592592,0.8675925925925926,-0.004629629629629562,0.04484953703703709,0.013303389972353521,0.011186508747879872,0.011237287532456596,0.0021025349681233238,0.006066736160174931,0.871078431372549,0.9171568627450981,0.8666666666666668,-0.004411764705882337,0.04607843137254908,0.013208032926772046,0.011433239009500598,0.011454236711321505,0.0018341457778303567,0.00588235294117645,0.13350654998291528,0.07235878117461743,0.16433744260434463,0.0878919466918667,0.027343221403480816,0.48012678993865754,0.11037524319477718,0.06035887510343474,0.12991196573409136,0.09759393675283753,0.07918978219693963,0.01672150343324272,0.035715862455138914,0.004546979815965129,0.09537144360241132,0.029946764759878917,0.15052931066477573,0.11080692896576642,0.07371917816112512,0.039647493363732925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,100.0,10,1
3,2036,0.021249060699674374,38,0.46218074656188607,0.8590128288758425,0.9024135681669929,0.8524969196202072,-0.006515909255635321,0.04340073929115022,0.01821399924248229,0.008866275400474508,0.01629712061560157,0.002524889542783973,0.025227951759142477,0.8590128288758425,0.9024135681669929,0.8524969196202072,-0.006515909255635255,0.04340073929115022,0.018213999242482307,0.008866275400474487,0.016297120615601554,0.002524889542784012,0.025227951759142456,0.8607843137254901,0.9029411764705882,0.8544117647058824,-0.006372549019607843,0.04215686274509804,0.018627450980392143,0.008289967904552796,0.01644898209368873,0.0024995193694082275,0.0258645214868096,0.12151506694915445,0.0838919434516155,0.11635401032107988,0.09206925364709181,0.10691968927360826,0.06012172592243202,0.0374567808636503,0.46693584370545105,0.11352331778261751,0.03545065336971498,0.11128775661272725,0.04092281238433472,0.07471716514050294,0.016493209157416276,0.086778477682766,0.01630097945495327,0.1374544180718968,0.12615727650106126,0.0939933173019966,0.06165630240592916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,100.0,10,1
4,2036,0.021249060699674374,38,0.48280943025540274,0.8692135588327279,0.9131498544518489,0.866201554117449,-0.003012004715279004,0.043936295619120914,0.016603934160399125,0.017302347392194453,0.016525424576509393,0.00450340676131354,0.009212603328377908,0.8692135588327279,0.9131498544518489,0.866201554117449,-0.0030120047152789597,0.04393629561912098,0.01660393416039915,0.017302347392194453,0.016525424576509424,0.004503406761313553,0.00921260332837798,0.8686274509803921,0.9132352941176471,0.8656862745098038,-0.002941176470588247,0.044607843137254875,0.01688154446835544,0.017372593281048388,0.017079658225670917,0.004752627311192506,0.008958660236518172,0.06575833194136041,0.05415048313165562,0.20197285683286373,0.12191962843592488,0.08489499460863366,0.03446729358987084,0.06755031021855981,0.004387199174956067,0.052733533061497743,0.5110583759942595,0.08578098055548829,0.06664808883839364,0.15406615155655007,0.03750456870267364,0.11636271313623635,0.09253909972629233,0.10424183971228439,0.0554643461949655,0.06663828837652544,0.021860916211007986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,100.0,10,0
5,2036,0.021249060699674374,38,0.537819253438114,0.8682539682539682,0.9155830977748785,0.8671522794810466,-0.0011016887729216717,0.047329129520910354,0.009471068950662015,0.007158489693343916,0.008870185048382754,0.003957514783729441,0.005403930643609666,0.8682539682539682,0.9155830977748787,0.8671522794810466,-0.0011016887729216273,0.047329129520910375,0.009471068950662053,0.0071584896933439,0.00887018504838269,0.00395751478372941,0.0054039306436098195,0.8730392156862745,0.9171568627450981,0.871078431372549,-0.0019607843137255053,0.044117647058823525,0.00868629664052416,0.007170950410945022,0.008574929257125446,0.003251592931720972,0.005141219843971302,0.1505444797490161,0.09377619980865032,0.18527423044907057,0.14715618737852612,0.06925754005351466,0.006437671623922879,0.07853562803470074,0.025698298963511966,0.15178359744706002,0.09962308417414208,0.04467330945653453,0.47230978897970094,0.056951547677006296,0.03825144215231352,0.05690156551770921,0.0035301207969639066,0.11863247994643644,0.05672757458039237,0.08744562166895117,0.056489631541875876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,100.0,10,0
6,2036,0.021249060699674374,38,0.48330058939096265,0.8690788365770924,0.9013351937835301,0.8655255370847067,-0.0035532994923857864,0.032256357206437755,0.02280145824187412,0.0033519387935978893,0.02260895399290041,0.0028760048732031167,0.021944419119115703,0.8690788365770924,0.9013351937835301,0.8655255370847066,-0.0035532994923858086,0.032256357206437755,0.02280145824187409,0.0033519387935979092,0.022608953992900378,0.0028760048732030825,0.02194441911911564,0.8686274509803923,0.9009803921568628,0.8651960784313726,-0.0034313725490196178,0.032352941176470605,0.02323136394327997,0.0033246715603555115,0.02293991952313256,0.002499519369408232,0.021944146358430776,0.10531079165123017,0.10724080000183525,0.12769301630305835,0.06705836073925316,0.11441633074649793,0.025598026288904126,0.08234946128371501,0.03011130181508371,0.13364573662885465,0.09277044009354658,0.10435715279684177,0.05976139668165242,0.0319116755574241,0.5395397558850935,0.11926393347282123,0.0219695982480461,0.09675324977571487,0.04360225768589235,0.08429865178384198,0.012348062560692794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,100.0,10,0
7,2036,0.021249060699674374,38,0.4656188605108055,0.8827957508450023,0.909917914051183,0.8833220666344761,0.000526315789473597,0.027122163206180615,0.010128567250053453,0.016930120172046377,0.008581978606632795,0.0030630666147114637,0.017868731401900283,0.8827957508450023,0.9099179140511829,0.8833220666344761,0.000526315789473708,0.027122163206180615,0.010128567250053375,0.016930120172046433,0.00858197860663282,0.003063066614711418,0.017868731401900317,0.8828431372549019,0.9098039215686274,0.8833333333333332,0.0004901960784313708,0.026960784313725485,0.010559146680655893,0.015762681559621114,0.00937800317142598,0.0028583097523751373,0.01705149718718245,0.1317582041734165,0.09737564403180117,0.13047932050164066,0.07323934486030773,0.07473473840238225,0.03442150278692785,0.06440559034848889,0.025985059176267155,0.2011469508193474,0.13002661381128794,0.062110930691385145,0.006695180779037755,0.10041984462207332,0.013439346360844998,0.03248688286026277,0.5054984135560951,0.11642538045239949,0.06974774602061669,0.08603215712860371,0.0435711486168137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,100.0,10,0
8,2036,0.021249060699674374,38,0.431237721021611,0.8579545454545455,0.9162029780564263,0.8545454545454545,-0.003409090909090917,0.05824843260188084,0.01040100342938723,0.016734613044797425,0.012489708177518275,0.0037663446732603876,0.006881004936664158,0.8579545454545455,0.9162029780564265,0.8545454545454545,-0.003409090909090895,0.05824843260188084,0.010401003429387285,0.016734613044797373,0.01248970817751832,0.0037663446732603485,0.006881004936664023,0.8637254901960784,0.9176470588235295,0.8607843137254904,-0.002941176470588225,0.05392156862745101,0.010694815798662476,0.014836025441589757,0.011846123503524101,0.0039215686274509665,0.006200544431702682,0.1077851994175044,0.12914524666699662,0.13369069794922264,0.09126710958309443,0.12592474561698247,0.057387308291490594,0.07152101333451942,0.021787475101505215,0.10249023155361273,0.09906342284387278,0.1602729672563076,0.06964699389763408,0.06817500272588227,0.006345684980228067,0.09177068405187386,0.01783050661094291,0.053024326547899674,0.4464578642057215,0.08534513154619479,0.06106838781851385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,100.0,10,0
9,2036,0.021249060699674374,38,0.5299607072691552,0.8859953703703705,0.922974537037037,0.8819444444444444,-0.004050925925925953,0.036979166666666605,0.010434334296867862,0.00656873315910309,0.010331117324280003,0.006025192168898278,0.012802830378726697,0.8859953703703705,0.922974537037037,0.8819444444444444,-0.004050925925925974,0.03697916666666665,0.010434334296867862,0.006568733159103092,0.010331117324279993,0.006025192168898282,0.01280283037872666,0.8887254901960784,0.9240196078431373,0.8843137254901962,-0.00441176470588236,0.03529411764705885,0.009877177293926422,0.006756886643181497,0.010093755040183325,0.005882352941176451,0.012362274718547547,0.1148991717143499,0.09018583555571087,0.1636972571695045,0.11485011555763694,0.07036835504206575,0.025757832239846908,0.1000457014807619,0.061886519408199406,0.11770535266036664,0.08525602766341348,0.11753177977659952,0.061529693130579766,0.11634889841188886,0.04244034195102604,0.07065138189856482,0.012806665678967308,0.08081620634676033,0.05529180945866017,0.04793589549913786,0.4499951593559592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,vehicle-loan-default,dirichlet,0.2,0.2,5,0.0,100.0,10,0
