island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,a,c_clients
0,4705,0.10087258538258688,65,0.24399574920297556,0.7603632361034672,0.7769222772579955,0.7637143031859598,0.003351067082492487,0.0165590411545282,0.0196623682369416,0.02210361034732469,0.020137952043635745,0.005586292478643716,0.020254552441891945,0.7603632361034672,0.7769222772579955,0.7637143031859598,0.0033510670824925095,0.016559041154528265,0.019662368236941615,0.02210361034732464,0.020137952043635776,0.005586292478643715,0.020254552441891917,0.8414452709883105,0.8580233793836346,0.8376195536663124,-0.003825717321997857,0.016578108395324143,0.009909919852815929,0.007131970982173202,0.006495518295403265,0.004874535575421736,0.009613758025843673,0.07929882318768516,0.6697824552210755,0.11856466468790536,0.032938455373283534,0.09611696962122235,0.02401082943958073,0.13169747719401298,0.0519354483206436,0.06967157515608814,0.00791083933574616,0.09528782602279012,0.0370987684274185,0.10814617133978587,0.07175269921568844,0.11632316379499459,0.0499493725590275,0.08944422923137177,0.010655725896031512,0.09544909976414351,0.043965406211504444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,census,power,0.2,0.2,5,0.0,1.0,10
1,4642,0.09952190039234184,65,0.23610512710038775,0.7597523956524536,0.7614605440864365,0.7643481895941863,0.00459579394173264,0.0017081484339828811,0.02555432634205946,0.014261105033905788,0.027514792943463123,0.00277903669643701,0.01226188412052692,0.7597523956524536,0.7614605440864365,0.7643481895941859,0.0045957939417325955,0.0017081484339828811,0.025554326342059452,0.014261105033905814,0.027514792943463113,0.0027790366964370807,0.01226188412052688,0.8437029063509149,0.8540365984930032,0.8434876210979547,-0.00021528525296017343,0.010333692142088258,0.013588575963883322,0.007809841613441137,0.01566708753383016,0.002195487411665366,0.009047105011604177,0.09665494941040904,0.051012037676603485,0.11760555430753461,0.6721602085957522,0.0877872707231791,0.012287033841666727,0.0960200057200291,0.03557428860449222,0.12918935115564337,0.04612514072336319,0.07433260031651105,0.012547156446892393,0.07164744381525359,0.01266055382659129,0.13160891503074496,0.09059238254854662,0.09631373844221097,0.048682220807660895,0.09884017107848421,0.018358976928431033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,census,power,0.2,0.2,5,0.0,1.0,10
2,4668,0.10007932594387153,65,0.2504284490145673,0.7530024420024419,0.7631465201465202,0.7534139194139194,0.00041147741147746776,0.010144078144078162,0.018041518916924317,0.027496004783263812,0.01798622264194037,0.004949720586492689,0.01977541229508397,0.7530024420024419,0.7631465201465202,0.7534139194139194,0.00041147741147742336,0.010144078144078139,0.018041518916924317,0.02749600478326385,0.017986222641940382,0.004949720586492639,0.01977541229508401,0.8301927194860814,0.8458244111349037,0.8248394004282655,-0.005353319057815842,0.015631691648822277,0.010102891744826965,0.0144915839963072,0.009780031902928688,0.004118925923270086,0.015316106845608324,0.07959575551702273,0.014911776967699117,0.08229259252593131,0.01577682375389992,0.10311793235950795,0.6359909577267067,0.13635822632080444,0.121366113361478,0.12460691101552661,0.05221049999116182,0.08170599112954804,0.0257438096278211,0.12213082886114712,0.059562241629577725,0.09138538786825348,0.017855530382514192,0.0671898655781872,0.01683781158223829,0.1116165088240711,0.039744434976903206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,census,power,0.2,0.2,5,0.0,1.0,10
3,4668,0.10007932594387153,65,0.2384318766066838,0.7682074763643703,0.7830119896816836,0.7692979634570144,0.001090487092644099,0.014804513317313472,0.014249615642690632,0.015053086837301955,0.014986503753419415,0.003693004656083812,0.007706122355283836,0.7682074763643703,0.7830119896816836,0.7692979634570144,0.0010904870926440545,0.014804513317313427,0.014249615642690604,0.015053086837301928,0.01498650375341938,0.003693004656083814,0.007706122355283869,0.8462526766595289,0.8631691648822268,0.8460385438972162,-0.00021413276231263545,0.01691648822269807,0.00665536199910923,0.008165171719459376,0.007732535368423047,0.001842039671743617,0.0024787659320749827,0.10442294198658078,0.03519272650270301,0.08257175070718427,0.02168068938718552,0.09742235837978032,0.04473040626963437,0.09998615893340404,0.6749668786112029,0.09967561891208399,0.014908316188729643,0.07938570927528411,0.02703189900660048,0.09862478677695075,0.014715212497918925,0.12558781648325187,0.05539890618315265,0.11393178996069005,0.04968570435783806,0.09839106858478969,0.06168926099503447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,census,power,0.2,0.2,5,0.0,1.0,10
4,4644,0.09956477928092104,65,0.24332472006890613,0.7760205944183587,0.780051360163144,0.7765417490149675,0.0005211545966087528,0.004030765744785336,0.019515350921000336,0.020058461555015686,0.017869212439441205,0.0023570100875886777,0.008801847606841396,0.7760205944183587,0.780051360163144,0.7765417490149675,0.0005211545966087305,0.004030765744785336,0.019515350921000374,0.02005846155501569,0.017869212439441225,0.0023570100875886747,0.008801847606841428,0.8482238966630786,0.8570505920344456,0.846286329386437,-0.0019375672766415609,0.008826695371367066,0.01095630626480038,0.010220949382535363,0.009540805083384396,0.0017222820236813875,0.007593193579568732,0.06275220948179219,0.011917192213037178,0.13820377551752153,0.06997883608098401,0.09514540314013051,0.039842779247775253,0.09555537257729549,0.02213160121875082,0.07533453209193589,0.6478672675378412,0.07755214677170906,0.011898194415279758,0.10231800001881286,0.0320482716892162,0.12602490893293078,0.046970287093743956,0.10034635378961321,0.04122542079215205,0.12676729767825856,0.07612014971121954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,census,power,0.2,0.2,5,0.0,1.0,10
5,4650,0.09969341594665866,65,0.24086021505376345,0.7714753642250101,0.7851983002832862,0.7735190712262242,0.0020437070012141235,0.013722936058276014,0.01496236429848221,0.004380552784885591,0.01495401523877826,0.0032595420742886996,0.014839155242938419,0.7714753642250101,0.7851983002832862,0.7735190712262242,0.0020437070012140567,0.013722936058276014,0.014962364298482177,0.004380552784885612,0.01495401523877828,0.0032595420742887998,0.014839155242938412,0.8432258064516128,0.855268817204301,0.8389247311827956,-0.0043010752688172225,0.012043010752688165,0.006607437202467613,0.006786982295939579,0.006607437202467618,0.003041319488974411,0.006173204341680576,0.135206274333588,0.06418738477719055,0.08715301454561467,0.03486052052273487,0.08114715745722975,0.02084397656297227,0.12166756550316186,0.06891154571291414,0.06916346015456007,0.01420628604223666,0.0945973243357901,0.6276234112148881,0.09868699598936075,0.048452627589998985,0.08444396697231753,0.027706033569918177,0.1089117255107835,0.03940738195814183,0.11902251519759374,0.05380083204900445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,census,power,0.2,0.2,5,0.0,1.0,10
6,4703,0.10082970649400767,65,0.2483521156708484,0.763989530821214,0.766953783290417,0.7688711178810189,0.004881587059804815,0.0029642524692029327,0.010800862329595306,0.006197564432039535,0.012751391710710772,0.006324332228178878,0.006444209790378604,0.763989530821214,0.766953783290417,0.7688711178810188,0.004881587059804881,0.002964252469202977,0.01080086232959537,0.006197564432039512,0.012751391710710802,0.006324332228178915,0.006444209790378686,0.8382571732199787,0.8435706695005314,0.8352816153028693,-0.0029755579171094836,0.0053134962805525985,0.007029898154534019,0.005223466834195341,0.009969002677626853,0.003998913437242674,0.0024233271521767238,0.1449505993873387,0.053313789340090366,0.06571587587509728,0.011224607751952751,0.09145059439764551,0.026976408191175923,0.0958702102453594,0.03143505896871708,0.09622162709474001,0.05959351253796837,0.08863878807493074,0.045398974415125866,0.11322306545122902,0.6362519442612372,0.1025756823415244,0.034835182270557846,0.1008646696750155,0.04109071005090597,0.10048888745711944,0.05987981221226861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,census,power,0.2,0.2,5,0.0,1.0,10
7,4613,0.09890015650794332,65,0.24365922393236505,0.7631951607768228,0.7858439987265202,0.7640432983126393,0.0008481375358165844,0.02264883794969754,0.012276403172465464,0.011661323391725965,0.01618391387621799,0.005756801807744158,0.0059088786100933086,0.7631951607768226,0.7858439987265202,0.7640432983126393,0.0008481375358166066,0.02264883794969754,0.012276403172465464,0.011661323391725953,0.016183913876217967,0.00575680180774422,0.005908878610093282,0.8463705308775731,0.8624052004333695,0.8435536294691224,-0.0028169014084507226,0.01603466955579631,0.005830389619533574,0.006012757064143716,0.005838437090057407,0.0038518719034954054,0.0031698242336571274,0.10728457362939045,0.049136874199607626,0.10815379387924857,0.06164944671176035,0.07483440845627823,0.015243064119584041,0.11374600899796083,0.028833571275846608,0.08282508045513345,0.023179987537960307,0.07862503419958825,0.009339669847635693,0.11513232232140076,0.04317453305062256,0.09123439464461325,0.6936765703442965,0.10758461976065077,0.022942481910461825,0.12057976365573542,0.052823801002224426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,census,power,0.2,0.2,5,0.0,1.0,10
8,4638,0.09943614261518341,65,0.23113410952996982,0.7519581664441477,0.776202256603576,0.7564006911175685,0.004442524673420723,0.02424409015942821,0.019171253139576,0.011858302359240992,0.01854482206904745,0.0047991722307807174,0.009165315800546707,0.7519581664441477,0.776202256603576,0.7564006911175685,0.004442524673420744,0.02424409015942821,0.019171253139575996,0.011858302359241001,0.01854482206904745,0.004799172230780759,0.009165315800546676,0.836853448275862,0.8575431034482758,0.8351293103448276,-0.0017241379310344751,0.02068965517241379,0.011972365872699274,0.011102799027923488,0.0115457717551542,0.002939263296764168,0.0072894545367620045,0.06730788473671376,0.018861026121975148,0.10151522492565933,0.04675226799155967,0.07745216391382646,0.013081363885879856,0.11242099511645831,0.03952168529561648,0.1277646595307819,0.047081846344947116,0.09559562292249585,0.04113119871180032,0.110682277703953,0.05293618613783017,0.1143723882001287,0.04534103698350181,0.09224307872064103,0.6612966173185452,0.10064570422934152,0.03399677120834434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,census,power,0.2,0.2,5,0.0,1.0,10
9,4706,0.10089402482687648,65,0.24181895452613686,0.7748931151407932,0.7874391862007961,0.7786709420610349,0.0037778269202418,0.012546071060003028,0.012503103213528483,0.020684457802314798,0.015004265742502123,0.004916446568759463,0.014826041742965673,0.7748931151407932,0.7874391862007961,0.7786709420610349,0.003777826920241778,0.012546071060002939,0.012503103213528505,0.0206844578023148,0.015004265742502085,0.00491644656875943,0.014826041742965684,0.8488322717622081,0.8624203821656051,0.8477707006369428,-0.0010615711252653925,0.013588110403397025,0.00591438992661746,0.009603552337918165,0.005520169851380041,0.0024207546180448785,0.004860094752551845,0.09011796140860562,0.05359987619475309,0.10101128288823129,0.017585645024308642,0.08270942114362682,0.016824194572132863,0.09611442016486912,0.06352071127259169,0.12485155504273146,0.042784709959549826,0.0773898385280763,0.02355473411056859,0.0897907823124964,0.02951428208769293,0.15624322151589495,0.09528017474079134,0.07919224053564858,0.024340469343730794,0.10257927645981954,0.6329952026938802,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,census,power,0.2,0.2,5,0.0,1.0,10
