island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,a,c_clients
0,273705,0.5561809739593387,50,1.570519354779781,0.9467220233917535,0.9490459875146412,0.9485482557146341,0.0018262323228805943,0.0023239641228876896,0.001071879016611221,0.0005254421892803974,0.001048192003065582,0.00028783458818788544,0.0007089258554649083,0.9467220233917535,0.9490459875146412,0.9485482557146341,0.0018262323228805054,0.0023239641228876896,0.0010718790166112278,0.0005254421892804017,0.0010481920030656234,0.0002878345881879451,0.0007089258554649561,0.9493907674320893,0.9506110593522223,0.9509910304890301,0.0016002630569408537,0.0012202919201329987,0.0010040735136454054,0.0005673746221020286,0.0010640230638017157,0.00028149080629521697,0.0004848933910989732,0.3833537706608353,0.5425671097635275,0.022354046081773382,0.0047431641680704606,0.1270534770588371,0.10988650311133001,0.09328497406056128,0.0757813108858508,0.02198450348517732,0.00184770661767546,0.20907013464798188,0.1924219527940172,0.019742819331354883,0.0006722386578993861,0.03940831692880388,0.01725119892504715,0.05918644316540574,0.047760672696453566,0.02456151457926918,0.0070681423801284326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,covertype,power,0.2,0.2,5,0.0,0.25,10
1,15631,0.03176290094794916,50,1.5712366451282707,0.8491556250328806,0.9610931989882365,0.8476601924154477,-0.0014954326174329235,0.11193757395535582,0.005177593907411974,0.00265481445017972,0.004072686411930344,0.0017659861521780998,0.007813044110258327,0.8491556250328806,0.9610931989882365,0.8476601924154478,-0.0014954326174328792,0.11193757395535583,0.005177593907411942,0.002654814450179718,0.004072686411930305,0.0017659861521781887,0.007813044110258292,0.8550047969299648,0.9620722737448032,0.85270227054685,-0.002302526383114811,0.10706747681483848,0.004032972886583784,0.0027255869207115364,0.003705212243801763,0.001477994244744636,0.006697097595245725,0.4100622964917203,0.22699310838872827,0.015963749499404288,0.4406162644206814,0.12134975674916035,0.09640342662217133,0.09145223683789261,0.06158379488051459,0.020164821306140127,0.001349515237630995,0.20843527124731728,0.1227138934961993,0.016374552054660527,0.0014546671013108152,0.037374735495215854,0.01705370045836532,0.053933462872383875,0.03045050053478196,0.02488911744610463,0.0013811288596159972,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,covertype,power,0.2,0.2,5,0.0,0.25,10
2,27574,0.056031618625727725,50,1.5733662145499383,0.8661790310080957,0.9578398712075209,0.8656879411348049,-0.0004910898732907176,0.09166084019942522,0.003179222623593124,0.002308751856855559,0.00418693673400594,0.0019418225482817134,0.0047986695845811025,0.8661790310080958,0.9578398712075209,0.8656879411348049,-0.0004910898732908064,0.09166084019942515,0.0031792226235931274,0.0023087518568555452,0.004186936734005906,0.0019418225482816709,0.004798669584581132,0.872420670897552,0.9593109700815956,0.8712964641885765,-0.0011242067089755725,0.08689029918404352,0.0030869787771576154,0.001872468633679117,0.0037711834694776195,0.001329487055653587,0.004214205344357975,0.41527545598973487,0.22503666213309406,0.016295779846511756,0.006132165823720467,0.03655137619950181,0.5151553884242809,0.0948302486713582,0.06693865250827406,0.02314285754868892,0.0013433522092171578,0.20818235937875404,0.1131251780252694,0.015166058965999716,0.000981665988998241,0.06072103390200547,0.021072484448372883,0.08648539487332257,0.040752391573357735,0.04334943462412253,0.009462058865415176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,covertype,power,0.2,0.2,5,0.0,0.25,10
3,35784,0.07271471099234934,50,1.5655600268276324,0.87972275759398,0.9571258042759959,0.8797012403108659,-2.1517283113992036e-05,0.07740304668201596,0.002379375682211397,0.002650966537578845,0.0030322362695780836,0.0015938562813749926,0.0020389315972796952,0.87972275759398,0.9571258042759959,0.8797012403108659,-2.1517283113992036e-05,0.07740304668201592,0.0023793756822113876,0.0026509665375788905,0.003032236269578043,0.0015938562813749035,0.002038931597279685,0.8840296213497275,0.958362442364119,0.8830515579153276,-0.0009780634343999005,0.0743328210143915,0.0020324824978028206,0.0027493919522143424,0.0025504773975921846,0.001371852754912213,0.0026050068322305705,0.4157733344749291,0.24215807003913245,0.018576632077648442,0.00501270475756473,0.13199724256065454,0.10926336170894424,0.05732594782108077,0.44498449599614087,0.017778703620874872,0.0019482566448943198,0.21085562682418574,0.12244487211429053,0.015091880997833563,0.0009048591121502083,0.05462760801180494,0.03121151932007617,0.05375368687381295,0.03406037781638614,0.024219336737175128,0.00801148249042024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,covertype,power,0.2,0.2,5,0.0,0.25,10
4,14320,0.029098889487213356,50,1.570949720670391,0.8400327458489162,0.9554331982193822,0.8364869875063141,-0.0035457583426021567,0.115400452370466,0.0039030293010601717,0.003936543913502677,0.004733771439776213,0.0035426926707370103,0.002570677424161546,0.8400327458489162,0.9554331982193822,0.8364869875063141,-0.003545758342602201,0.11540045237046606,0.003903029301060165,0.003936543913502615,0.0047337714397761915,0.003542692670737021,0.0025706774241615153,0.8446927374301676,0.9568435754189946,0.8408519553072626,-0.00384078212290504,0.11215083798882682,0.0036580449312035635,0.004081463462626378,0.004267211205992228,0.003925550090099224,0.002156905755793353,0.40939769910300733,0.26680946296767605,0.022286420732134226,0.0011561519309984405,0.12457861332345539,0.06816805216842398,0.09093991867421804,0.06456717927947878,0.01665738969742444,0.4207225783481146,0.20680593085122692,0.13350113729800822,0.014997166245719947,0.0013611023318187718,0.03561691841946832,0.0071413231995291855,0.05741938289517715,0.028699340013341797,0.021300560058168314,0.007873672462610098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,covertype,power,0.2,0.2,5,0.0,0.25,10
5,52435,0.10655029820265588,50,1.5682464003051397,0.8950272385446605,0.9610806648730993,0.8943754569653528,-0.0006517815793078529,0.06605342632843873,0.0015345988944594359,0.0016870693826191137,0.001777632364111036,0.000971839128380257,0.0008901560627431914,0.8950272385446606,0.9610806648730993,0.8943754569653528,-0.0006517815793078974,0.06605342632843866,0.001534598894459403,0.0016870693826191501,0.0017776323641110758,0.000971839128380186,0.0008901560627432011,0.8991704014494136,0.9620863926766473,0.8983694097453989,-0.000800991704014442,0.06291599122723375,0.0017138660771363276,0.0015228351122477148,0.001974033637094192,0.0010386382228809168,0.0012968437112615442,0.4323558642970709,0.2517421255542833,0.015023050993331696,0.0017892944388790133,0.13127811749035362,0.10983537659019467,0.14782897918064414,0.07600683321224684,0.020148208560480208,0.004877696577386978,0.12554768662000793,0.48373050331653067,0.014181313830208578,0.0006512791917021142,0.03266089474946598,0.01882402349979404,0.05700756523263693,0.04526842308114302,0.023968319045799845,0.007274444537839321,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,covertype,power,0.2,0.2,5,0.0,0.25,10
6,13160,0.026741716875120652,50,1.561322188449848,0.8402314273404322,0.9582396750169261,0.8395888471717855,-0.0006425801686465782,0.1180082476764941,0.008078337440521232,0.001089907884631164,0.008445872321827214,0.0006948165569075109,0.00857172670480545,0.8402314273404322,0.9582396750169261,0.8395888471717855,-0.0006425801686465338,0.11800824767649407,0.008078337440521263,0.001089907884631145,0.008445872321827233,0.0006948165569075135,0.008571726704805466,0.8440729483282675,0.9594224924012158,0.8431610942249239,-0.0009118541033434457,0.11534954407294833,0.00819683073566068,0.0008796228649536889,0.007909308699628737,0.0003874634888748162,0.008336527751916413,0.40833767453513525,0.27761394078710716,0.02103398114339182,0.001502521464544681,0.11170565692130771,0.06927520610552099,0.09027456923573567,0.030435388891917353,0.018777726581638877,0.0013014649187662992,0.2079326623760786,0.16461590150744385,0.018601008182213045,0.4156798301042494,0.03756608257931024,0.007234113878256325,0.06018469710872113,0.029996184714953404,0.025585941336467743,0.002345447627240583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,covertype,power,0.2,0.2,5,0.0,0.25,10
7,19125,0.038862867419200794,50,1.5647581699346405,0.8524637137137138,0.9558220720720719,0.8496709209209209,-0.002792792792792831,0.10335835835835827,0.006320833383850454,0.0021953259365021316,0.006075141946241599,0.0012089029867678512,0.006798771745410729,0.8524637137137138,0.9558220720720723,0.8496709209209209,-0.002792792792792831,0.10335835835835834,0.006320833383850417,0.0021953259365021785,0.006075141946241639,0.00120890298676792,0.006798771745410695,0.857045751633987,0.9573333333333334,0.8537516339869281,-0.003294117647058825,0.10028758169934641,0.006364066752972793,0.0023113240371556,0.0056184216996239735,0.0017231118487094391,0.007388292651114852,0.41512009931260724,0.27211184223524876,0.02610720785092404,0.006482525289287793,0.12554098524540605,0.07418656438309215,0.09209784922687586,0.0547371840739869,0.02286115811736164,0.0012358915523784397,0.20553433584214287,0.13577530222531106,0.014556300864828453,0.0011652746497209086,0.015246374854423084,0.4182730941455608,0.05536660279935207,0.02929253041276325,0.027569085886078794,0.006739791032650042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,covertype,power,0.2,0.2,5,0.0,0.25,10
8,22783,0.04629608932871382,50,1.566299433788351,0.862760644196848,0.9594460727490052,0.8615374615494418,-0.0012231826474061957,0.09668542855215712,0.0036239816275755467,0.0030191754045040004,0.003047168452013284,0.0009690999286647219,0.00405867263815148,0.8627606441968482,0.9594460727490052,0.8615374615494418,-0.0012231826474062846,0.09668542855215705,0.0036239816275755667,0.0030191754045039883,0.003047168452013282,0.0009690999286647563,0.0040586726381515075,0.8670616633750274,0.9601492209787141,0.8653938994952819,-0.0016677638797454764,0.09308755760368662,0.0030037197511114913,0.0030740769818455,0.0024850362373301646,0.0009474230039466033,0.0034984411469615607,0.40849888518977623,0.2892767983501197,0.021876017028561085,0.002249504397625574,0.12638811518820617,0.06553173985525726,0.09367672887258552,0.048030945130218855,0.025771310826867743,0.00558531501943656,0.2073264779618999,0.15729320411689082,0.014937360771545505,0.0012403487660384866,0.045231106466562906,0.016621989275045223,0.017751279936026494,0.405527306855602,0.03854271775796845,0.008642848233765352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,covertype,power,0.2,0.2,5,0.0,0.25,10
9,17593,0.03574977393495423,50,1.5728414710396181,0.8482647799638817,0.9582344240091245,0.8462271884801826,-0.002037591483699264,0.10996964404524281,0.0074600512446902426,0.0038790712567777046,0.007555284746440918,0.0015725379725012735,0.003965754658487952,0.8482647799638817,0.9582344240091245,0.8462271884801824,-0.00203759148369933,0.10996964404524281,0.007460051244690253,0.003879071256777738,0.0075552847464409306,0.0015725379725012756,0.00396575465848791,0.8544472861608412,0.9594202898550724,0.8514919011082694,-0.0029553850525717573,0.1049730036942313,0.0069104559948033545,0.0029608448485663147,0.006658596928494521,0.0009269398369025159,0.004884446763254422,0.4153624269048505,0.2166447416826835,0.020888732345800378,0.0043666028849062176,0.12319962313151375,0.06160108501197816,0.08951955058503724,0.048680790941566604,0.016809692838348073,0.003580085198588121,0.20514976611675673,0.1486112608523792,0.01952683296955315,0.0013344608562772281,0.04507889780055477,0.01724883362169182,0.04766427833031996,0.01260709221843421,0.016800198977265583,0.48532504673149496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,covertype,power,0.2,0.2,5,0.0,0.25,10
