island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,a,c_clients
0,4622,0.09909311150654974,65,0.23539593249675464,0.7510076171444142,0.7607671645277241,0.7528003062429443,0.0017926890985298315,0.009759547383309775,0.012032212007456699,0.017100784126131925,0.010003677423924565,0.003209511977408924,0.012706880148480527,0.7510076171444142,0.7607671645277241,0.7528003062429443,0.001792689098529765,0.009759547383309775,0.012032212007456728,0.017100784126131932,0.010003677423924558,0.0032095119774089606,0.012706880148480515,0.8395675675675676,0.8544864864864865,0.8369729729729729,-0.00259459459459459,0.014918918918918944,0.010382881905766904,0.00874540472050021,0.009654968026709676,0.0016180140050914265,0.007118736273796443,0.09405533760375462,0.6420779513776844,0.0911816718579993,0.02435407627909162,0.08886440479167464,0.03621741811426824,0.08394362915335347,0.01832252927456704,0.12130430280032718,0.09019157616405678,0.1073388429966311,0.03623770251712008,0.08831248550716614,0.028887676630552594,0.13417107659498254,0.0592951993977056,0.10869451736034766,0.04074355546489095,0.0821337313337632,0.023672314780062723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,census,power,0.2,0.2,5,0.0,1.0,10
1,4643,0.09954333983663144,65,0.2425156149041568,0.7668983585858585,0.7798472222222222,0.7732670454545455,0.006368686868686901,0.012948863636363672,0.012480943507622947,0.018620952603818047,0.012389306679624346,0.002662527187012254,0.016720360569511806,0.7668983585858585,0.7798472222222222,0.7732670454545454,0.006368686868686857,0.012948863636363628,0.012480943507622985,0.01862095260381797,0.012389306679624417,0.0026625271870122456,0.016720360569511736,0.842411194833154,0.8579117330462862,0.8419806243272335,-0.00043057050592034687,0.015500538213132398,0.006995942652000824,0.010721119137127005,0.007120704158682979,0.0019964733036589356,0.010360567849744628,0.0866761385143826,0.028660815113589096,0.08543716250247266,0.6678533312285465,0.08894344738897433,0.04068472238297782,0.06797838017818968,0.021452762626459683,0.11332756998476166,0.05173113697614488,0.1241508915770942,0.046488326049660744,0.09862198940048532,0.030606543002209097,0.15754989008087797,0.057446273322798246,0.1076104408243032,0.043683556671319616,0.06970408954845815,0.01139253262629434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,census,power,0.2,0.2,5,0.0,1.0,10
2,4703,0.10082970649400767,65,0.24303635977035934,0.7645073843285413,0.7847885285314755,0.7621964084196065,-0.002310975908934765,0.020281144202934143,0.00981530171817755,0.01634770111600345,0.012367466934896423,0.0028329409638362005,0.018426252207180225,0.7645073843285413,0.7847885285314755,0.7621964084196065,-0.002310975908934809,0.020281144202934122,0.009815301718177452,0.016347701116003473,0.012367466934896437,0.002832940963836304,0.01842625220718023,0.8395324123273114,0.8603613177470777,0.8337938363443147,-0.005738575982996807,0.02082890541976621,0.01162186874770869,0.006397414216064768,0.01145745544904874,0.0027383844265090646,0.011157836130420186,0.0900405399643927,0.013742821713900039,0.09600535591672031,0.036089786517952464,0.08107347534179132,0.6568801410333268,0.10784392407043562,0.06191712992662738,0.09424611606011656,0.0367863455049463,0.12810410491140709,0.05467554763077576,0.12968651649589968,0.044869095234048015,0.10623376448813192,0.0524918247870335,0.08548694766595606,0.020588345757975957,0.08127925508514867,0.021958961893413842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,census,power,0.2,0.2,5,0.0,1.0,10
3,4706,0.10089402482687648,65,0.23140671483212918,0.7472185615084393,0.7558365857367326,0.7467940595063105,-0.0004245020021288459,0.008618024228293341,0.02143169046140906,0.013434081408715094,0.024347395300943306,0.0051217004975136916,0.014297029661580115,0.7472185615084393,0.7558365857367326,0.7467940595063105,-0.0004245020021288015,0.008618024228293386,0.021431690461409022,0.013434081408715116,0.024347395300943344,0.005121700497513688,0.014297029661580129,0.8341825902335456,0.8498938428874734,0.8305732484076433,-0.0036093418259023347,0.01571125265392781,0.015286624203821653,0.008266633687444493,0.016219472827842273,0.003191782670567496,0.012798867832782617,0.07090244621905409,0.013435622096527256,0.1072191307216134,0.058493989909808176,0.11952363554951492,0.05336311806853492,0.07229578436298012,0.6305523686540968,0.10713359528992808,0.03357482607234356,0.08608813187450567,0.039286706959742644,0.10846932458596317,0.03078295634449228,0.09847393371702838,0.04080783692688293,0.1073290396854724,0.048597296714312434,0.12256497799393981,0.051105278253258835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,census,power,0.2,0.2,5,0.0,1.0,10
4,4667,0.10005788649958193,65,0.24598242982644097,0.7776704545454545,0.7854446640316205,0.7758498023715414,-0.0018206521739130288,0.007774209486166095,0.008117783642015373,0.016500597006628905,0.009197763069075838,0.0013583946845963334,0.016973127955515022,0.7776704545454545,0.7854446640316206,0.7758498023715414,-0.0018206521739130067,0.007774209486166028,0.008117783642015408,0.016500597006628863,0.009197763069075823,0.001358394684596281,0.016973127955514956,0.8475374732334048,0.8539614561027836,0.8434689507494646,-0.0040685224839400735,0.006423982869378975,0.005769676053664868,0.007343224068300724,0.005559209844003064,0.0008012114318573812,0.006669126981754774,0.12484769660624968,0.06467013300215974,0.12597004224774055,0.04917698500313594,0.06659865279069209,0.01869326993629414,0.11145696179419713,0.03887912389943233,0.08860408600560696,0.6082871179209757,0.10636877593858811,0.034193309277163644,0.10888281853547163,0.04008189768812984,0.10619744662222963,0.049240530998382125,0.0879118468850337,0.055944753910724614,0.07316167257419053,0.04083287836360185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,census,power,0.2,0.2,5,0.0,1.0,10
5,4741,0.10164440537701262,65,0.24298671166420585,0.7638335202402055,0.7694986072423399,0.7599488719265878,-0.0038846483136177,0.00566508700213435,0.011609195836139532,0.010013111866515852,0.013007693936002913,0.0016226139423308804,0.01409437718574827,0.7638335202402055,0.7694986072423399,0.7599488719265878,-0.0038846483136176337,0.005665087002134394,0.011609195836139502,0.0100131118665159,0.0130076939360029,0.0016226139423308691,0.014094377185748316,0.8465753424657534,0.8564805057955743,0.8402528977871444,-0.006322444678609052,0.009905163329820877,0.006651099615620457,0.001812924186942617,0.00865351534990424,0.002980429003947477,0.007902353323183448,0.09953766099241858,0.04186433665742669,0.09480703398881285,0.019098818617435447,0.08367383836841293,0.04648135285166049,0.09062065046300631,0.043804288093904076,0.08504104352598069,0.02813715976942287,0.1128486589971512,0.6772881197043968,0.08475252038670246,0.01505486586759496,0.12720959078334876,0.05126596718375803,0.11515930322843751,0.05602772235858856,0.10634969926572861,0.020977368895812122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,census,power,0.2,0.2,5,0.0,1.0,10
6,4633,0.0993289453937354,65,0.24908266781782862,0.7436389759665621,0.7552881027018958,0.7429467084639498,-0.0006922675026122871,0.011649126735333692,0.0132354612333564,0.013132974663398519,0.014114512365773687,0.00298478191908425,0.007413851281490254,0.7436389759665623,0.7552881027018957,0.7429467084639498,-0.0006922675026123315,0.011649126735333647,0.013235461233356342,0.013132974663398524,0.014114512365773714,0.00298478191908433,0.0074138512814903475,0.8248112189859762,0.839697950377562,0.8176914778856526,-0.007119741100323607,0.01488673139158576,0.009168728958306704,0.012517203628358375,0.008575882163690096,0.0036486590130070965,0.00723324902448335,0.08436506403402878,0.05268544982586776,0.11604078058709089,0.03360610306111245,0.12325870928146357,0.023823063012617336,0.08329360569871933,0.016275213886465086,0.08820051489319261,0.03431204654800818,0.11821033482351218,0.05504902037125912,0.07110159510705019,0.661889441141633,0.10730982749457411,0.03648236561831782,0.11914025122590743,0.053377582280232164,0.08907931685446094,0.03249971425448715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,census,power,0.2,0.2,5,0.0,1.0,10
7,4654,0.09977917372381707,65,0.24129780833691447,0.7668013849543595,0.7923399433427762,0.7650576015108593,-0.0017437834435001464,0.025538558388416743,0.01695080299092639,0.015337374518973691,0.019602239751538544,0.0047927126354413195,0.016121047118278845,0.7668013849543595,0.7923399433427762,0.7650576015108592,-0.0017437834435001687,0.025538558388416722,0.016950802990926408,0.015337374518973696,0.01960223975153852,0.004792712635441343,0.016121047118278806,0.8442534908700322,0.8586466165413533,0.839312567132116,-0.004940923737916214,0.014393125671321162,0.009631154359381248,0.010881997973717689,0.01165994994209402,0.0027677977930666508,0.008609007479920067,0.11107680712633732,0.06586901862187444,0.10698718561811646,0.051479568499390796,0.10537840106258323,0.04425889797848521,0.07197018893601091,0.02067622862904096,0.08834175666254504,0.019014043103461796,0.1041248226010938,0.04098794740196331,0.10126911076581015,0.044619911219120546,0.10639622890281615,0.648033233845245,0.09740230498193242,0.020843153094393226,0.10705319334275465,0.04421799760702474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,census,power,0.2,0.2,5,0.0,1.0,10
8,4605,0.09872864095362648,65,0.2501628664495114,0.7826697288114264,0.7833782168250173,0.7836877870760712,0.00101805826464485,0.0007084880135908911,0.013311187539412121,0.01270497881508289,0.011326617904060242,0.007141970226060153,0.011461799830184482,0.7826697288114264,0.7833782168250173,0.7836877870760712,0.0010180582646448278,0.0007084880135908911,0.013311187539412137,0.012704978815082877,0.01132661790406023,0.007141970226060242,0.01146179983018459,0.8492942453854507,0.8608034744842563,0.8473398479913138,-0.0019543973941368088,0.01150922909880565,0.005202670380330486,0.0055956997727362135,0.005166287623613604,0.0018680402317139263,0.004039321441419823,0.08193858817599683,0.030480825268099032,0.15523501953167354,0.039569891562051984,0.08406327002320296,0.018037480629917703,0.09939236968782364,0.02868003948903301,0.08727615063399524,0.039904643201844135,0.1356297359842164,0.07361680711369463,0.0849109114018987,0.022799623547772832,0.08181749853033506,0.039902094299168765,0.09639847090264045,0.6713769961705001,0.09333798512821724,0.03563159871791795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,census,power,0.2,0.2,5,0.0,1.0,10
9,4664,0.09999356816671312,65,0.23692109777015438,0.7535423763282323,0.7713940718897757,0.7537914993136408,0.00024912298540846756,0.017851695561543555,0.020308621155682133,0.01701210533445328,0.02195994720675119,0.0027066439087817524,0.017265081980587838,0.7535423763282323,0.7713940718897757,0.7537914993136408,0.00024912298540846756,0.017851695561543535,0.020308621155682133,0.01701210533445329,0.02195994720675119,0.0027066439087817524,0.01726508198058788,0.8338692390139336,0.8544480171489818,0.8304394426580922,-0.0034297963558413747,0.02057877813504825,0.006812539585024944,0.006690026381276408,0.00871798474069141,0.002078319338656513,0.0031358496973907476,0.08239694384962752,0.024539687024333873,0.1004619823712128,0.03667122684367153,0.09894572083754463,0.02998850959877743,0.10844209724469592,0.028956914907378496,0.11605308002594146,0.06241837002557057,0.08063857672887396,0.017113055580032448,0.11921165065536601,0.05375958010229356,0.08054623812178523,0.019389447042133877,0.13065004114906392,0.05514233202809192,0.0826536690158886,0.6720208768477163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,census,power,0.2,0.2,5,0.0,1.0,10
