island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,a,c_clients
0,4186,0.043687901811805964,38,0.2135690396559962,0.8049033155025814,0.9605759530692348,0.8343325336339976,0.0294292181314163,0.1556726375666534,0.014916105333425644,0.00769716616376303,0.00890755623470931,0.007200188628210164,0.02054954236079714,0.8049033155025814,0.9605759530692348,0.8343325336339976,0.02942921813141628,0.1556726375666534,0.01491610533342562,0.007697166163763023,0.00890755623470927,0.007200188628210153,0.02054954236079714,0.9088305489260143,0.9725536992840096,0.9147971360381861,0.005966587112171862,0.06372315035799525,0.0072625890475908885,0.002614427482124871,0.0068592400301669965,0.0022641606158723716,0.008288188713214921,0.02388152436398608,0.41013976820888365,0.05742284002715666,0.016766390226230946,0.08191052267944977,0.06817875719560348,0.05887123706743197,0.016876485941188905,0.13167140303242797,0.08603663059595147,0.03714471450530414,0.011732248306929562,0.018624873721263403,0.0024694996132107816,0.23483108101296452,0.1409132526878292,0.3370145982512873,0.2452253303002987,0.018627205338728327,0.0016616369238732942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,vehicle-loan-default,power,0.2,0.2,5,0.0,0.25,10
1,4666,0.0486975035484679,38,0.2156022288898414,0.8151575003563357,0.9625576075963972,0.8453048536308906,0.030147353274554888,0.14740010724006164,0.014677853921271012,0.006982834620694196,0.012042765182601067,0.00789176406045549,0.016988534013570856,0.8151575003563357,0.9625576075963972,0.8453048536308906,0.030147353274554867,0.14740010724006158,0.01467785392127099,0.006982834620694175,0.012042765182601037,0.007891764060455494,0.01698853401357085,0.9122055674518201,0.9758029978586723,0.9209850107066382,0.008779443254817988,0.06359743040685224,0.005021858415228512,0.003358541143759769,0.004562585814274613,0.002982524256356338,0.006480833383478205,0.06467490942745605,0.03144542921287667,0.02978330147275246,0.36022764444460026,0.1072948459823629,0.05665144204799214,0.02494845597260766,0.016103973656535053,0.13635092379101757,0.09625834943987273,0.02229782349148686,0.010098381866735024,0.016031003506759553,0.0021673470731937653,0.22827449756129092,0.18998179763170886,0.3324040791792544,0.23185701972083822,0.03794015961501149,0.005208614905647361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,vehicle-loan-default,power,0.2,0.2,5,0.0,0.25,10
2,5779,0.06031351757535276,38,0.21197439003287766,0.8159107506888595,0.9598207845157823,0.8391003382692265,0.023189587580366978,0.14391003382692272,0.011911961357220044,0.0034236970045559896,0.008922448899817827,0.007541750400788798,0.014411556152058842,0.8159107506888595,0.9598207845157821,0.8391003382692265,0.023189587580366978,0.14391003382692263,0.011911961357220058,0.0034236970045559705,0.008922448899817848,0.007541750400788809,0.014411556152058844,0.9134948096885814,0.973356401384083,0.9204152249134948,0.00692041522491349,0.05986159169550172,0.004342526089277218,0.002215613922987165,0.0018145481802251822,0.003236727843230079,0.0045577646617022795,0.061944987216894364,0.03738067738642451,0.08907632689510844,0.052173132479448873,0.05177518722714523,0.4025176078073718,0.026813655424747153,0.009891154496350215,0.12955089383677804,0.09783301444996606,0.045509146120459906,0.01617611531445545,0.011701343205295586,0.0015719412025705347,0.241375850725787,0.17379203059559561,0.32682538739957645,0.20544943925548595,0.01542722194820787,0.0032148870123309184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,vehicle-loan-default,power,0.2,0.2,5,0.0,0.25,10
3,3600,0.03757201302496452,38,0.20583333333333334,0.7928557928557929,0.9642553392553392,0.8052731052731052,0.012417312417312431,0.1713995463995464,0.006813220886806109,0.009935922121335731,0.010195434716267611,0.006542802608228289,0.009771636494897594,0.7928557928557929,0.9642553392553392,0.8052731052731052,0.012417312417312388,0.17139954639954635,0.006813220886806131,0.009935922121335717,0.010195434716267587,0.00654280260822825,0.009771636494897568,0.9072222222222223,0.9758333333333333,0.9094444444444445,0.0022222222222222144,0.06861111111111111,0.004339027597725903,0.005015408357018852,0.007264831572567763,0.004356774205932796,0.003788383804718293,0.07451144691326304,0.032268742021806976,0.060759743734879655,0.04390786368175962,0.09966615354286261,0.029960908805604557,0.01561098142979421,0.4569066630667346,0.14191056753270043,0.08135336469991279,0.035827767731786246,0.007412033911868938,0.017170991958740858,0.0015745827992266963,0.2134589253156883,0.16744383455232045,0.3257760814430241,0.17780074641867433,0.015307340397260505,0.0013712600420910574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,vehicle-loan-default,power,0.2,0.2,5,0.0,0.25,10
4,7095,0.07404817567003423,38,0.213107822410148,0.826658148896939,0.9654968073185627,0.8524761808771129,0.02581803198017396,0.1388386584216237,0.01156490809251865,0.008600968375461735,0.013441496024375329,0.009945663558735706,0.013099048773893101,0.826658148896939,0.9654968073185627,0.852476180877113,0.02581803198017396,0.1388386584216237,0.011564908092518653,0.008600968375461709,0.013441496024375409,0.009945663558735687,0.013099048773893092,0.9199436222692036,0.9742071881606765,0.9282593375616631,0.00831571529245947,0.054263565891472854,0.005956461341540647,0.006265288448454676,0.006706343765113666,0.004661828163084258,0.00739118286236893,0.058286943507234866,0.03507355233861233,0.10874681547928315,0.07431811882662707,0.10443923736403297,0.08152872293006452,0.033911921492719745,0.017426416000384953,0.059755743007335396,0.39533810305463024,0.024098079862948017,0.005674212999343465,0.011114579030479485,0.0020190251128118846,0.23493148790635865,0.176872277897151,0.3382147574331135,0.20552813150872873,0.026500434916494103,0.006221439331645835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,vehicle-loan-default,power,0.2,0.2,5,0.0,0.25,10
5,3046,0.03179009768723386,38,0.21602101116217992,0.7914225941422595,0.963702928870293,0.814691898060099,0.02326930391783948,0.1722803347280335,0.01838835202970974,0.007977452905248098,0.01490672649596707,0.014903254878572705,0.024719440892169577,0.7914225941422595,0.963702928870293,0.814691898060099,0.0232693039178395,0.17228033472803347,0.01838835202970968,0.007977452905248098,0.014906726495967044,0.014903254878572662,0.024719440892169514,0.9,0.9714754098360656,0.9029508196721311,0.0029508196721311332,0.0714754098360656,0.008359048382938992,0.009365807775138167,0.0033436193531756206,0.005427195199097321,0.014574498866159266,0.042970169437715595,0.015677923142799255,0.08376144454294553,0.059117660641109515,0.10769039869360024,0.0667586981043993,0.04122752355390742,0.00213618379536565,0.1416127860637096,0.10417999729326763,0.008862332897937922,0.37370732050422356,0.02385555836969742,0.0024770079023177646,0.21755162973537234,0.12311773312078245,0.31676198876648787,0.24972189158718008,0.015706167938626055,0.003105583908554814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,vehicle-loan-default,power,0.2,0.2,5,0.0,0.25,10
6,3243,0.0338461217333222,38,0.2087573234659266,0.780014411298458,0.9547542873612912,0.8045856751693327,0.024571263870874827,0.17473987606283323,0.014883865696903606,0.0050134469492482915,0.01097813575668592,0.022074871631871794,0.013687535066799233,0.780014411298458,0.9547542873612912,0.8045856751693327,0.024571263870874736,0.1747398760628332,0.014883865696903602,0.0050134469492482915,0.010978135756685884,0.022074871631871745,0.013687535066799239,0.8998459167950694,0.9707241910631741,0.904160246533128,0.004314329738058542,0.07087827426810475,0.007094523533572462,0.0025783051665148517,0.00429226141053439,0.009568058364412954,0.008824543028213443,0.11308684306805203,0.028474156988440365,0.07020923304687045,0.032376153030519175,0.06134614211506595,0.06204387873934546,0.03231555376387893,0.005359314233895111,0.13083814063455268,0.06825378153405538,0.04173026150318422,0.017203372793395132,0.01208049463525642,0.4629782349779957,0.20649636435826685,0.12662765529729078,0.31793348088566387,0.19483609653274347,0.013963485989208647,0.001847355872319357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,vehicle-loan-default,power,0.2,0.2,5,0.0,0.25,10
7,10077,0.1051703264590465,38,0.21107472462042273,0.8392674284701922,0.968295686066082,0.8726167065284791,0.03334927805828687,0.12902825759588987,0.008875659697006924,0.005485757130160679,0.008063785505107168,0.009106140907542538,0.008339576859157411,0.8392674284701922,0.968295686066082,0.8726167065284791,0.0333492780582868,0.12902825759588982,0.008875659697006917,0.005485757130160679,0.008063785505107168,0.009106140907542554,0.008339576859157425,0.9250992063492063,0.979265873015873,0.9354166666666668,0.010317460317460303,0.05416666666666663,0.004054130305893384,0.0030961282806205104,0.0031277545179433314,0.004083157862550922,0.00459358607253583,0.07184881094770498,0.035029949839088,0.06104417320407982,0.054451758306137646,0.1433657135635574,0.09995518816824307,0.0391604525557931,0.019513620054174077,0.1628425778517215,0.11155973285612682,0.0159791274694839,0.007115088362648521,0.016432790883323844,0.0013931464705006355,0.11792312842985317,0.4148835536975685,0.3576241620388518,0.25486673259866977,0.013779063055630475,0.0012312296468428537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,vehicle-loan-default,power,0.2,0.2,5,0.0,0.25,10
8,51344,0.5358603990982717,38,0.21309208476160799,0.9310215161526111,0.9563039795652202,0.9436199340905509,0.012598417937939588,0.02528246341260907,0.002924896717955748,0.0037726109609062053,0.00572633906950754,0.0028307178156224103,0.003036948030973917,0.9310215161526111,0.9563039795652202,0.9436199340905509,0.012598417937939654,0.02528246341260911,0.00292489671795572,0.0037726109609062053,0.005726339069507566,0.002830717815622462,0.003036948030973873,0.966501119875353,0.9707274320771253,0.9704352906806895,0.003934170805336446,0.004226312201772298,0.0015285941665477692,0.0018838527279141008,0.002736096496848526,0.0012357730707344534,0.0010037276250248377,0.05022113079668335,0.034458105627059296,0.0712635687133275,0.055974477919645604,0.10732274751123563,0.09797264470692663,0.02615224774607091,0.006956390910960772,0.12745093249362693,0.11470034211160943,0.027728923924495934,0.01871499133106445,0.016041062202117217,0.0016399867552165282,0.23782980816508542,0.2251694037376209,0.3211540521492309,0.4433860413414026,0.014835526298126286,0.001027615558493817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,vehicle-loan-default,power,0.2,0.2,5,0.0,0.25,10
9,2774,0.0289513233697921,38,0.20980533525594808,0.7772248841410729,0.9710117037153406,0.7948059853899929,0.017581101248919984,0.19378681957426755,0.024167450119097916,0.005881162853088645,0.021663974441733378,0.011385601331273,0.023024530472171435,0.7772248841410729,0.9710117037153406,0.794805985389993,0.017581101248920004,0.19378681957426758,0.024167450119097916,0.005881162853088618,0.021663974441733375,0.01138560133127302,0.023024530472171362,0.8944144144144144,0.9762162162162162,0.8951351351351351,0.0007207207207207356,0.08180180180180179,0.011083644323769164,0.004471954467023737,0.013741027722477574,0.007437754032630766,0.0114863981625292,0.0573109481236897,0.015702507513425827,0.05672721180754951,0.032096591116243675,0.09825026114835642,0.07560215228792412,0.027253891221274452,0.002544201742842501,0.16802033092291474,0.07522370278243651,0.0471511311278421,0.0045489269966535965,0.011452084166213048,0.0031087215317812797,0.20588569854734368,0.15431517260059646,0.3163881709943014,0.208079275317322,0.011560271940514982,0.428778748110774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,vehicle-loan-default,power,0.2,0.2,5,0.0,0.25,10
