island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,a,c_clients
0,10040,0.10478416965851214,38,0.21553784860557768,0.8406083800725833,0.9422390850104476,0.8639752190329558,0.023366838960372484,0.10163070493786434,0.013663814680793656,0.010563933823238341,0.01712433486880265,0.012175638431655,0.017034097968882618,0.8406083800725833,0.9422390850104476,0.8639752190329558,0.02336683896037246,0.10163070493786433,0.013663814680793656,0.010563933823238317,0.01712433486880269,0.012175638431655022,0.017034097968882594,0.922808764940239,0.9566733067729084,0.9297808764940239,0.006972111553784877,0.033864541832669404,0.007312412288038899,0.006950735586600751,0.010488951089163973,0.00479744803935949,0.007759980550112525,0.019136136230532907,0.48706437629249166,0.06424161948076425,0.014604222591326705,0.04948973866645251,0.003089393825054372,0.023983735463977692,0.0013923557445060975,0.14638672394516253,0.09446239026314254,0.04260058001743673,0.01824412818213429,0.27434442354558647,0.1715917780791996,0.1349582646505587,0.0752763204814309,0.11191075315355595,0.036364180031757315,0.1329480248459722,0.09791085450895638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,vehicle-loan-default,power,0.2,0.2,5,0.0,0.75,10
1,8177,0.08534065291809301,38,0.20949003301944477,0.8163391574727339,0.9425908513886165,0.84263820211545,0.026299044642716218,0.1262516939158826,0.00781648003460379,0.005502068431025222,0.012356159012250184,0.006239027924444295,0.006418140351451633,0.8163391574727339,0.9425908513886163,0.84263820211545,0.026299044642716242,0.12625169391588256,0.007816480034603803,0.0055020684310253245,0.012356159012250196,0.006239027924444293,0.006418140351451661,0.9158924205378973,0.9617359413202934,0.9222493887530563,0.006356968215158965,0.045843520782396105,0.003225160380995831,0.002493408075106499,0.004397580867629586,0.002552642178217773,0.0029944862381212174,0.15068255038559836,0.0789239315628987,0.01827843671082185,0.46839615665647394,0.021540775081540293,0.001580586508610678,0.03596630974568763,0.0018330241270659582,0.08167017988099681,0.04495655425418897,0.04316221945519893,0.003581208361147506,0.24120458865684208,0.18240684282424385,0.15949753609785283,0.07280932451342584,0.09554236521974255,0.04820673011559039,0.15245503876571856,0.09730564107635412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,vehicle-loan-default,power,0.2,0.2,5,0.0,0.75,10
2,7830,0.08171912832929783,38,0.21353767560664114,0.8136222684501128,0.9401693366513728,0.843421436348083,0.02979916789797028,0.12654706820125983,0.007527922672448036,0.005784656544130366,0.009844708370913793,0.00394862694557166,0.010583778550082355,0.8136222684501128,0.9401693366513726,0.843421436348083,0.029799167897970304,0.12654706820125985,0.007527922672448016,0.00578465654413037,0.009844708370913826,0.003948626945571667,0.01058377855008233,0.9127713920817369,0.9597701149425287,0.9212005108556832,0.008429118773946342,0.046998722860791806,0.0036926774699363985,0.0044791003618774436,0.00447181134099914,0.0024029230807441917,0.004189328088596845,0.19854166265658077,0.10463073559338823,0.07691900066347994,0.017263553314617774,0.02277657754647095,0.37851568501561045,0.028182317862486657,0.0018035492390781603,0.07369733531569618,0.05363844110153959,0.035750154389258895,0.005136803919581809,0.2038747513160112,0.1994683901516115,0.1624314058191767,0.10880458309442839,0.07567527326486104,0.025608771413915023,0.12215152116597769,0.10512948715622908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,vehicle-loan-default,power,0.2,0.2,5,0.0,0.75,10
3,8463,0.08832554061952075,38,0.22131631809051164,0.8307670207384927,0.9217816894284269,0.8540629236216489,0.02329590288315637,0.09101466868993435,0.009151835910233809,0.009238765020823537,0.010948414412308502,0.005921017050119467,0.005020190492758546,0.8307670207384927,0.9217816894284269,0.8540629236216489,0.023295902883156305,0.09101466868993421,0.009151835910233816,0.009238765020823547,0.010948414412308514,0.005921017050119456,0.0050201904927584745,0.9186060248080331,0.9474305965741288,0.9236857649143533,0.00507974010632013,0.028824571766095698,0.0036296022435291764,0.0046957133879153585,0.004804418052607862,0.004236366468290857,0.005141182550971992,0.16954216996765578,0.06450563255976458,0.052930016001466317,0.004206517249861462,0.021400254678053423,0.0016252929221601564,0.02159633494615472,0.47690119921048496,0.07044052872100452,0.011076397629341391,0.08195524826416033,0.016073524717683862,0.20484766061804885,0.16151742005789335,0.11116659174563152,0.10388190439646125,0.10539923557060786,0.044728345104489114,0.16072195948721657,0.11548376615185985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,vehicle-loan-default,power,0.2,0.2,5,0.0,0.75,10
4,8859,0.09245846205226685,38,0.21052037476013094,0.830009754190565,0.9333004999741293,0.8596799322380789,0.029670178047513908,0.10329074578356426,0.019141259856937667,0.010352066267512049,0.014404230861015565,0.007309570879593416,0.013785254636407576,0.830009754190565,0.9333004999741294,0.8596799322380789,0.029670178047513884,0.10329074578356431,0.019141259856937667,0.010352066267512004,0.014404230861015537,0.00730957087959344,0.013785254636407599,0.9231376975169301,0.9530474040632054,0.9302483069977427,0.007110609480812613,0.029909706546275405,0.007928040329045614,0.004617894479792081,0.0056048347710768226,0.002563841239638972,0.004893788575322543,0.15845240484389606,0.13644127375981235,0.06081136562739779,0.021802800542961458,0.03092266250244094,0.0030827456045933125,0.01937018935367412,0.0018806054980065317,0.032598044472615995,0.43099962288364396,0.06624834946209669,0.012330963927901811,0.26206262833412974,0.185073762665066,0.18176616067859647,0.0917014157377218,0.07742853866545647,0.03416594343583407,0.11033965605969576,0.08252086594445851,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,vehicle-loan-default,power,0.2,0.2,5,0.0,0.75,10
5,7522,0.07850463388160642,38,0.21124700877426217,0.8158626207393513,0.9301470860951715,0.8425296583003501,0.026667037560998842,0.11428446535582013,0.019199794726531265,0.016551058012504234,0.013214642891094633,0.007564937562872615,0.012933021506907389,0.8158626207393513,0.9301470860951715,0.8425296583003503,0.026667037560998863,0.11428446535582015,0.01919979472653129,0.01655105801250427,0.013214642891094596,0.007564937562872665,0.01293302150690741,0.9150830564784054,0.9548172757475083,0.9211960132890364,0.00611295681063122,0.03973421926910301,0.007580577114658702,0.005638060713779789,0.004765560419147117,0.002893228047452147,0.005549664589454137,0.16307394787161328,0.07648803478779506,0.05249630369719262,0.00850540077801179,0.0209849187150574,0.003500968055302732,0.04552124716156564,0.0033199595977529634,0.10363132666299728,0.03716100482817245,0.017951147014468264,0.4235129569363837,0.21215196537448272,0.16780725354422216,0.1410673548121205,0.13256158737816923,0.0909641375775202,0.048858418185817376,0.15215765111298205,0.09828441590837264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,vehicle-loan-default,power,0.2,0.2,5,0.0,0.75,10
6,16618,0.1734365867913501,38,0.21037429293537127,0.8598739423666464,0.9364792152053955,0.8816513386470468,0.021777396280400495,0.07660527283874918,0.0061739310920959295,0.004816508094496414,0.007316937145571332,0.005138081358577434,0.007051653913851858,0.8598739423666462,0.9364792152053955,0.8816513386470468,0.021777396280400606,0.0766052728387493,0.006173931092095964,0.004816508094496425,0.007316937145571252,0.005138081358577382,0.007051653913851906,0.9350180505415162,0.9590252707581228,0.941395908543923,0.006377858002406711,0.024007220216606485,0.003200826974312982,0.002341164435420425,0.00332509070508978,0.0019441028184601387,0.0027135914040384347,0.21078297713378014,0.12813105247868078,0.05001544723519217,0.020130864982384866,0.022638796654267917,0.0015363665174298506,0.02384880858107711,0.0018749142239854796,0.11253917431501666,0.051190698721584785,0.04777709675666778,0.011471442860650442,0.09398496043057836,0.4510457171080039,0.21760172687350784,0.16325540646763903,0.06183775829318646,0.03142787334504757,0.15897325372672552,0.1399356632945933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,vehicle-loan-default,power,0.2,0.2,5,0.0,0.75,10
7,7262,0.0757910996075812,38,0.20242357477278985,0.8251914916095859,0.9260722062768162,0.8405389938546601,0.01534750224507404,0.10088071466723014,0.012362980813012523,0.00942056319768024,0.012831472533170515,0.0059195567345255344,0.017402294776397223,0.8251914916095859,0.9260722062768163,0.8405389938546601,0.015347502245074019,0.10088071466723014,0.012362980813012538,0.009420563197680204,0.012831472533170548,0.005919556734525536,0.017402294776397164,0.9240192704748796,0.953337921541638,0.926634549208534,0.0026152787336544804,0.029318651066758416,0.0044729736570604086,0.005731772281805106,0.004819584693740287,0.0035468957265588482,0.006779689115498851,0.10186234678746932,0.09012679901911665,0.04809478278793329,0.006513971278827918,0.04200274297749742,0.0068149404512542035,0.031217370932548717,0.005126700712336479,0.10574930321395927,0.028279331586100687,0.0817951098751969,0.03515053148177404,0.23397792059474462,0.18857160171603818,0.026116175676964764,0.43200253748657486,0.14199939648392493,0.06751675772766338,0.18718485066976087,0.13989682854031357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,vehicle-loan-default,power,0.2,0.2,5,0.0,0.75,10
8,11516,0.1201886949987476,38,0.2158735672108371,0.8498280218109988,0.9424827882625026,0.8655720710538828,0.015744049242883952,0.09265476645150372,0.014502715632674926,0.003817725982567538,0.013862917075687755,0.006703347903528474,0.015366017062305838,0.8498280218109988,0.9424827882625026,0.8655720710538828,0.015744049242884018,0.09265476645150372,0.01450271563267491,0.003817725982567509,0.013862917075687724,0.0067033479035283556,0.015366017062305807,0.9280381944444445,0.959201388888889,0.9316840277777777,0.003645833333333326,0.03116319444444444,0.007202246011351241,0.0009104243473698963,0.00795870145309172,0.0032200064220470914,0.007377961583637423,0.12630037831624857,0.061766170655454956,0.04774328354499948,0.008561724267889814,0.017061641252397813,0.0014723171264130663,0.023452226808046872,0.0017223688947123766,0.10451827122440763,0.050317859667080043,0.04330390197186269,0.024177798260362045,0.23671598582445735,0.17225954347242595,0.19058151186338518,0.10397939483241607,0.028703136561368185,0.4758029260304354,0.1816196626328262,0.09993989679281028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,vehicle-loan-default,power,0.2,0.2,5,0.0,0.75,10
9,9524,0.09939884779160056,38,0.2136707265854683,0.8282055025045679,0.9294702519001584,0.8560531158661998,0.027847613361631995,0.10126474939559046,0.009284735644022454,0.007704749385588542,0.011163377608873367,0.005847597944448033,0.009285800169129327,0.8282055025045679,0.9294702519001584,0.8560531158662,0.02784761336163204,0.10126474939559053,0.009284735644022418,0.007704749385588538,0.011163377608873324,0.005847597944448064,0.009285800169129296,0.9214698162729658,0.9538057742782152,0.9283989501312335,0.006929133858267722,0.032335958005249334,0.0044368601803917,0.005465371164229043,0.00563027304054255,0.002601472271572452,0.0041810619951160154,0.15950727650094582,0.10371013084505662,0.04858285515038942,0.00723872962717569,0.028573472628013984,0.0023493033437923467,0.06435764429021903,0.005401824342937159,0.07671817081185092,0.03256004603228013,0.05471782508281355,0.026900740252576383,0.24759161772072275,0.20401416235411823,0.17595178710520665,0.15560510426948349,0.11025244334085649,0.0662019169801535,0.033746907368981414,0.39601804195242646,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,vehicle-loan-default,power,0.2,0.2,5,0.0,0.75,10
