island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,prop_cols,c_clients,target_col,natural_col
0,46643,1.0,38,0.24183693158673328,0.7512393423998764,0.7494173853621754,0.7503757860027093,-0.0008635563971671756,-0.0018219570377010718,0.0022786052259491066,0.004523377096106404,0.002765177786104472,0.0008839757477973504,0.004978549214556952,0.7512393423998764,0.7494173853621754,0.7503757860027094,-0.0008635563971671311,-0.0018219570377010718,0.0022786052259491066,0.0045233770961064365,0.0027651777861044807,0.0008839757477973829,0.004978549214557003,0.8319862793439811,0.8308714760424483,0.8293493407653554,-0.0026369385786257915,-0.0011148033015328407,0.0014518171682570199,0.002824195125747862,0.0021726017468381566,0.0008402151545616918,0.0028219158418254842,0.20139636590514298,0.5237688402012343,0.08290574795444716,0.07198387832134091,0.09035537815167917,0.049075269411647464,0.24947164862575302,0.19184750753019816,0.09392482097457822,0.047401546867937204,0.049780398069527325,0.01188883093717431,0.09819290593558022,0.05803442178750925,0.021059012076024262,0.00807763758337928,0.059941524675680834,0.018877981926537488,0.05297219763158699,0.019044085433041775,1.0,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.5,0.3333333333333333,6,census,vertical,0.2,0.2,5,8.0,0.5,10,income,native-country
1,46643,1.0,45,0.24183693158673328,0.7349345052055916,0.733481327704095,0.7339085404189141,-0.0010259647866775134,-0.0014531775014965608,0.0028714713211437978,0.005089527783357503,0.002770838002538769,0.0006378772948903731,0.004467253649514743,0.7349345052055916,0.733481327704095,0.733908540418914,-0.0010259647866775357,-0.0014531775014965608,0.0028714713211438012,0.005089527783357546,0.0027708380025388306,0.0006378772948903077,0.004467253649514718,0.8263050702111695,0.8236895701575732,0.8239253939328975,-0.0023796762782720025,-0.002615500053596298,0.0027501541791531067,0.0020331590043140843,0.0023984334905686787,0.0005000280325732972,0.0026884628414100254,0.09867060152673517,0.0892118897517355,0.26924143366330766,0.5213633283355482,0.023715753961321875,0.006366858510009823,0.1549098313547814,0.13888747697399867,0.02745642138751127,0.009034858688602146,0.06281607545609218,0.015621396887381653,0.15014706310540077,0.11072271039554424,0.08870854889653904,0.04849866635919864,0.03359245112122609,0.02039584362985004,0.09074181952708468,0.039896970468131225,0.3333333333333333,1.0,0.2,0.3333333333333333,0.09090909090909091,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,6,census,vertical,0.2,0.2,5,8.0,0.5,10,income,native-country
2,46643,1.0,32,0.24183693158673328,0.6908563230665411,0.6995300967218261,0.6911024706380171,0.0002461475714759631,0.008673773655284833,0.0020778950164913293,0.0059029825223423,0.003229208124882829,0.0014963697021439563,0.00539688419354268,0.6908563230665411,0.6995140470252974,0.691102470638017,0.0002461475714759853,0.008657723958756369,0.0020778950164913293,0.005877122398694234,0.00322920812488278,0.0014963697021438853,0.005373980480567404,0.8016722049522993,0.8075463608103762,0.7985207417729661,-0.003151463179333258,0.005874155858076979,0.0029809573314739566,0.004106247130855072,0.003247494298057508,0.000815227927616318,0.0035353421341962005,0.16874088869170775,0.0961811621964043,0.026103222899366514,0.007127469341257635,0.13841019268057644,0.5677499199383538,0.0821786117004275,0.051078507511786594,0.216005552067023,0.1392088432736336,0.1127870121055107,0.03963324706077995,0.04877483495056785,0.014214860885687334,0.06048980500156387,0.023340679516223185,0.07132695088836064,0.02079453272094228,0.07518292901489579,0.04067077755493152,0.7142857142857143,0.2,1.0,0.5,0.5,0.5,0.2,0.3333333333333333,0.5,0.3333333333333333,6,census,vertical,0.2,0.2,5,8.0,0.5,10,income,native-country
3,46643,1.0,43,0.24183693158673328,0.7503915536858277,0.7496839131027692,0.7501569373293504,-0.00023461635647701318,-0.0007076405830583887,0.001470559813606117,0.005106656331730892,0.001467494711396543,0.0003328205069746434,0.004888280149348413,0.7503915536858277,0.7496839131027693,0.7501569373293504,-0.00023461635647701318,-0.0007076405830583222,0.0014705598136061106,0.005106656331730917,0.001467494711396543,0.000332820506974706,0.004888280149348494,0.8445706935362847,0.8414835459320399,0.8440776074606067,-0.0004930860756779731,-0.0030871476042447997,0.0017600493730752637,0.0020889089770842442,0.0019313719591905272,0.00037502102442997536,0.001703519822087571,0.14994608334536622,0.12802061961869296,0.09149225811829467,0.07983160149967043,0.054719577399854905,0.03969479062411917,0.3342958765239994,0.4397318257892568,0.16164428802420963,0.1540199891794026,0.01939194427268096,0.010667955036688749,0.05598108686879618,0.0426720418006399,0.043063924945243304,0.03157976364641919,0.019694258060908878,0.00815718687003649,0.06977070244064582,0.06562422593507375,0.7142857142857143,0.3333333333333333,0.5,1.0,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,census,vertical,0.2,0.2,5,8.0,0.5,10,income,native-country
4,46643,1.0,34,0.24183693158673328,0.7474268281738665,0.7532087485824126,0.7475292554444882,0.00010242727062159673,0.0057819204085459265,0.0035605454971312685,0.009138027020075294,0.004456378716293593,0.0012868998898651672,0.0064645032802622465,0.7474268281738665,0.7532087485824126,0.7475292554444881,0.00010242727062157453,0.005781920408545971,0.0035605454971312594,0.00913802702007536,0.004456378716293564,0.0012868998898651356,0.006464503280262311,0.8342158859470468,0.8358880908993461,0.8333154678958088,-0.0009004180512380833,0.0016722049522992944,0.0014246541087650272,0.0037606130666255626,0.0019996524928907146,0.0007064961755079314,0.0034345828542505018,0.07073909944601953,0.03423581630171245,0.019115581323523242,0.009894988538677589,0.1425875517058471,0.08157742956473088,0.1457997454576903,0.12898695198734592,0.20683296036734147,0.47569212286219953,0.052610911339044206,0.014613854894118622,0.08402666657506751,0.04657125298494185,0.1245984786049161,0.1199968857131279,0.0421653293824574,0.010953478454745032,0.11152367579809312,0.07747721869840027,0.3333333333333333,0.09090909090909091,0.5,0.3333333333333333,1.0,0.2,0.5,0.3333333333333333,0.2,0.3333333333333333,6,census,vertical,0.2,0.2,5,8.0,0.5,10,income,native-country
5,46643,1.0,25,0.24183693158673328,0.6755425687335619,0.6765932566958757,0.6741910915347847,-0.0013514771987770847,0.0010506879623139564,0.0034770636563293375,0.006039639678201147,0.0044765256156927575,0.0013438854171455461,0.0036113645043457984,0.6755425687335619,0.6766073949681789,0.6741910915347847,-0.0013514771987771068,0.0010648262346171222,0.003477063656329396,0.006046236620248074,0.004476525615692734,0.001343885417145474,0.0036127166576518455,0.7835780898274198,0.79219637688927,0.7780040733197556,-0.00557401650766427,0.008618287061850149,0.0025842094467238425,0.0030542186847049937,0.003111911018829321,0.0008916983317862547,0.0023801590789583786,0.0599617284492827,0.015539662490866584,0.07394620871176864,0.017997762540169347,0.06710341109429059,0.030715612115677672,0.030899548538323402,0.005901388867713295,0.07675887982150909,0.021640703209065144,0.17747808391367384,0.7022961290591432,0.09174569560672173,0.02071729231296094,0.1411667821826694,0.07012988256939268,0.09800121431134969,0.02566658258189896,0.1829384473704109,0.08939498425311213,0.3333333333333333,0.3333333333333333,0.5,0.2,0.2,1.0,0.2,0.5,0.5,0.5,6,census,vertical,0.2,0.2,5,8.0,0.5,10,income,native-country
6,46643,1.0,40,0.24183693158673328,0.7149982001277457,0.7406561123461209,0.7113191847832082,-0.0036790153445376062,0.025657912218375167,0.004129031437336268,0.006850913692511695,0.003453768060714003,0.0011406206468035425,0.0038342498918200727,0.7149982001277457,0.7406561123461209,0.7113191847832081,-0.0036790153445376726,0.025657912218375146,0.004129031437336278,0.00685091369251172,0.003453768060714,0.0011406206468035488,0.003834249891820069,0.8066030657090792,0.8245899882088112,0.8014363811769751,-0.005166684532104204,0.017986922499731994,0.001505894250516547,0.0028559141036855733,0.0014738108901101465,0.002084503849918586,0.0029249251539401264,0.040429162632457286,0.014717142952629898,0.14170470252219788,0.07786306051507344,0.03221318735279492,0.007527856873089972,0.05950029342816826,0.037304504859510576,0.06252338676396281,0.026559728343545204,0.073360637747454,0.015742143348785022,0.12023398780568491,0.5620812643291273,0.11495221406015069,0.0812955772493654,0.05761760988694533,0.01201432739115754,0.2974648178001839,0.16489439413771564,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.5,0.2,1.0,0.2,0.2,0.5,6,census,vertical,0.2,0.2,5,8.0,0.5,10,income,native-country
7,46643,1.0,45,0.24183693158673328,0.7207450694028736,0.7199625197910745,0.7210160028196327,0.00027093341675912266,-0.0007825496117991771,0.0054200133398035226,0.008150775931231183,0.0054488925953244,0.00019179209711339955,0.004209958082613241,0.7207450694028734,0.7199625197910745,0.7210160028196327,0.00027093341675914483,-0.0007825496117991326,0.005420013339803502,0.008150775931231174,0.005448892595324407,0.00019179209711333764,0.0042099580826132675,0.8232822381820132,0.820859684853682,0.822960660306571,-0.0003215778754421583,-0.0024225533283310117,0.0029069564831816284,0.003325667390659691,0.002763491571541989,0.0002444367938898374,0.0010205278366737184,0.021554095812302054,0.0070139863516736,0.05206955072579762,0.03179736611488349,0.033040468306826797,0.014018516913090704,0.1585270123941257,0.15872835933864438,0.04748414198122063,0.036122176281860756,0.03504240161295384,0.017639672201986676,0.08974458548485353,0.07840504271674606,0.4110360126766556,0.5342397472854896,0.02676527398206486,0.010095130969111516,0.12473645702319927,0.11194000182651323,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.2,1.0,0.3333333333333333,0.5,6,census,vertical,0.2,0.2,5,8.0,0.5,10,income,native-country
8,46643,1.0,33,0.24183693158673328,0.6866499426447392,0.6679375068309914,0.6861081384808677,-0.0005418041638715731,-0.01871243581374784,0.003699249787663663,0.005534934881360253,0.0038477539776061924,0.0004340318915407492,0.003457202045201923,0.6866499426447393,0.6679375068309914,0.6861081384808676,-0.0005418041638716176,-0.01871243581374782,0.003699249787663712,0.00553493488136024,0.0038477539776061416,0.0004340318915407139,0.003457202045201934,0.7981777253724943,0.7828491799764177,0.7954335941687212,-0.00274413120377317,-0.015328545396076754,0.0018865902025940455,0.003281145069303701,0.0018337146343953706,0.0003929746549431588,0.003702725604573174,0.08397962600801522,0.04234127088552001,0.056531108415839006,0.02761380314886377,0.09949751466669332,0.06637899423779006,0.057343848836953315,0.02142347180159557,0.06409509653271753,0.02235230383997543,0.0873219486477554,0.022802366894409995,0.0725637139318788,0.020484856043658475,0.09747965211083234,0.07657547070409686,0.2532044140523855,0.611428929100162,0.1279830767969296,0.08859853334392771,0.5,0.3333333333333333,0.5,0.3333333333333333,0.2,0.5,0.2,0.3333333333333333,1.0,0.3333333333333333,6,census,vertical,0.2,0.2,5,8.0,0.5,10,income,native-country
9,46643,1.0,44,0.24183693158673328,0.7173593542720142,0.7584037489484032,0.714843531439607,-0.0025158228324072772,0.041044394676389005,0.0056288421719581086,0.006783082076523024,0.005656043626436681,0.0007184520331378605,0.0032077361465963888,0.7173593542720144,0.7583594227072685,0.714843531439607,-0.002515822832407322,0.041000068435254236,0.0056288421719581,0.006827018895778723,0.005656043626436672,0.0007184520331378656,0.0032710519244523555,0.8067960124343445,0.8361667917247292,0.801607889377211,-0.005188123057133653,0.029370779290384806,0.0037591461781027176,0.003619620531514318,0.004422991653725922,0.0007414135048039964,0.0019496096120723999,0.04595936451519602,0.011132423849837012,0.07618734568753834,0.019134488306510412,0.04078507042700343,0.00768902147773409,0.06884535798068726,0.035651875943985174,0.05736178122460899,0.029199661365294616,0.08210957531188828,0.01975936944214333,0.2623607673861088,0.12555735347155245,0.1667253048042315,0.10368423829851278,0.061254477208089984,0.010642056792034957,0.13841095545464732,0.6375495110523952,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333,1.0,6,census,vertical,0.2,0.2,5,8.0,0.5,10,income,native-country
