island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,prop_cols,c_clients,target_col,natural_col
0,50000,1.0,37,1.5672,0.9014905075749082,0.9674259064210089,0.901089471516207,-0.00040103605870125405,0.06593539884610064,0.0018347284032988885,0.0009605816549443507,0.002676721369613316,0.0012220216055599247,0.0020619547730756868,0.9014905075749082,0.9674259064210091,0.901089471516207,-0.0004010360587012762,0.06593539884610074,0.0018347284032989594,0.000960581654944357,0.002676721369613312,0.0012220216055598711,0.002061954773075732,0.9053799999999999,0.96806,0.9045400000000001,-0.0008399999999999741,0.06268000000000003,0.0014302447343024795,0.000989141041510279,0.0020722934155182064,0.0009264987857520645,0.0017769637024993038,0.2021277157673462,0.5244655318302398,0.02661314978957596,0.0031366731391030637,0.26643349274987826,0.1444375556806872,0.0650294610232332,0.047436405131246785,0.07417161248909651,0.06062847948980925,0.25735900462011785,0.174842206601086,0.020183372342434433,0.006322583267112811,0.046918733520477235,0.026790788170969616,0.025789513086873116,0.011079782971571327,0.015373944610967093,0.0008599937181741423,1.0,0.6086956521739131,0.6818181818181818,0.5416666666666666,0.6086956521739131,0.6086956521739131,0.5416666666666666,0.574468085106383,0.574468085106383,0.48,7,covertype,vertical,0.2,0.2,5,16.0,0.75,10,Cover.Type,Wilderness.Area
1,50000,1.0,37,1.5672,0.8474870557839658,0.8917519729175194,0.8467497373353948,-0.0007373184485711448,0.044264917133553516,0.002814069606346827,0.0016306373723749402,0.0033750835407045632,0.0007754620377531968,0.0038070766448069465,0.8474870557839658,0.8917519729175194,0.8467497373353947,-0.0007373184485711892,0.04426491713355354,0.00281406960634686,0.0016306373723749695,0.0033750835407045767,0.000775462037753161,0.003807076644807011,0.8521799999999999,0.8951399999999999,0.8511200000000001,-0.0010600000000000164,0.04295999999999998,0.0023625410049351596,0.0016847551750922244,0.002858950856520632,0.0006118823416311408,0.0032818287584821144,0.04016547345039017,0.0016324284432545461,0.22555827469672649,0.6582116177361363,0.057605858827859166,0.01985603276636756,0.04300549881016236,0.0016037437724359656,0.09790681995833,0.06335489593364521,0.26084119735910793,0.14726477620853584,0.05030056682339551,0.010717298469257348,0.061082836028600686,0.019841004863986374,0.06582077937981344,0.027115792427025102,0.09771269466561447,0.05040240937935594,0.6086956521739131,1.0,0.574468085106383,0.574468085106383,0.6444444444444445,0.6086956521739131,0.48,0.574468085106383,0.5102040816326531,0.574468085106383,7,covertype,vertical,0.2,0.2,5,16.0,0.75,10,Cover.Type,Wilderness.Area
2,50000,1.0,37,1.5672,0.8964227427138273,0.9909898544981477,0.899856446949571,0.003433704235743784,0.09456711178432042,0.0016343408636592448,0.0008794215171991384,0.0021572864691938045,0.0012092694445733842,0.0018039105843294062,0.8964227427138273,0.9909898544981477,0.899856446949571,0.003433704235743762,0.0945671117843204,0.0016343408636592118,0.0008794215171991562,0.0021572864691938045,0.0012092694445734037,0.0018039105843293264,0.9006000000000001,0.9915800000000001,0.90334,0.002739999999999987,0.09097999999999998,0.0012569805089976652,0.0008681013765684437,0.0018810635289644142,0.0012970736293672843,0.0014034243834279373,0.49004770820876653,0.3282519528085827,0.0349836861079615,0.02359479648471726,0.06414680777796315,0.3270146388003243,0.005938379136968769,0.000759254770900965,0.09567178940085583,0.08255092659177674,0.20968153721312394,0.15503491431773583,0.004191860518406597,0.0004189417194531388,0.0392551778620225,0.04476176902066686,0.05164275693198398,0.037144377790374834,0.0044402968419472,0.0004684276954675415,0.6818181818181818,0.574468085106383,1.0,0.574468085106383,0.5416666666666666,0.6444444444444445,0.574468085106383,0.6444444444444445,0.574468085106383,0.574468085106383,7,covertype,vertical,0.2,0.2,5,16.0,0.75,10,Cover.Type,Wilderness.Area
3,50000,1.0,37,1.5672,0.884893558916388,0.9474358264093293,0.8825256016518541,-0.0023679572645338488,0.06254226749294131,0.0027687436540267344,0.0014351918100748726,0.0034511994971083097,0.0010398199746979087,0.0024950510326582744,0.884893558916388,0.9474358264093292,0.8825256016518539,-0.0023679572645338488,0.06254226749294131,0.002768743654026779,0.00143519181007486,0.0034511994971083595,0.0010398199746979914,0.0024950510326582063,0.8899000000000001,0.94906,0.8872199999999999,-0.0026799999999999715,0.05916000000000001,0.00236474100061719,0.0015357083056362043,0.0027694042680692127,0.0010590561835898892,0.0022059918404201176,0.3274660895284543,0.1708602693343383,0.03046568615003172,0.0021274386669806996,0.04092636131669822,0.014593375901105831,0.14879903558939342,0.5384515083265546,0.11877054345358944,0.11119386405173326,0.023060458210263986,0.0011551626078097833,0.10798141383189055,0.050697435005789326,0.1102382038390625,0.07027682135440302,0.021743821957109968,0.0013398367868555623,0.07054838612350568,0.03930428796442963,0.5416666666666666,0.574468085106383,0.574468085106383,1.0,0.6086956521739131,0.6444444444444445,0.6818181818181818,0.5416666666666666,0.574468085106383,0.5102040816326531,7,covertype,vertical,0.2,0.2,5,16.0,0.75,10,Cover.Type,Wilderness.Area
4,50000,1.0,37,1.5672,0.8955465965706301,0.9952193412397768,0.9000964950243633,0.004549898453733237,0.09967274466914693,0.0024280120428013738,0.00045109502200962816,0.0029234931218132068,0.0012043567778446686,0.0024279238221747265,0.8955465965706301,0.9952193412397768,0.9000964950243633,0.004549898453733237,0.09967274466914693,0.0024280120428013473,0.0004510950220096798,0.0029234931218132016,0.0012043567778446207,0.002427923822174652,0.89978,0.99526,0.90378,0.004000000000000026,0.09548000000000001,0.0022229709849658527,0.0005535341001239026,0.002147929235333407,0.0011242775458044044,0.0023007824755939005,0.07477636237326327,0.05133462855886341,0.1682925288532608,0.14362075707178096,0.09039874775929471,0.061101083150940025,0.01320061733314364,0.0017847120661329565,0.027802778250394143,0.33594491943077653,0.005480631187972062,0.00111055161014279,0.0028900350568574857,0.00037005460464146426,0.35319179012670937,0.22587288796714936,0.031603450714737955,0.017509711699818263,0.23236305834436655,0.16135069383975428,0.6086956521739131,0.6444444444444445,0.5416666666666666,0.6086956521739131,1.0,0.6086956521739131,0.574468085106383,0.7619047619047619,0.5416666666666666,0.574468085106383,7,covertype,vertical,0.2,0.2,5,16.0,0.75,10,Cover.Type,Wilderness.Area
5,50000,1.0,37,1.5672,0.8520018562501142,0.883550840917801,0.8522701261050815,0.0002682698549673956,0.03154898466768687,0.004334949222447318,0.0022993679109627207,0.004502887895981442,0.0013394360922249968,0.003048951873978329,0.8520018562501142,0.883550840917801,0.8522701261050815,0.0002682698549673956,0.03154898466768692,0.004334949222447291,0.002299367910962734,0.004502887895981463,0.0013394360922250152,0.003048951873978282,0.8569599999999999,0.8856999999999999,0.8569600000000002,-2.2204460492503132e-17,0.028739999999999988,0.00376966842043168,0.002125088233462322,0.003825493432225436,0.0009011104260855312,0.00256639825436348,0.1429616917375897,0.07020799686849516,0.1884873331421971,0.13923890636352898,0.05351501788979751,0.01435904694930871,0.04486763680479911,0.006208673397965173,0.04551595233660479,0.004239210584944008,0.2720549473504091,0.6638897072494241,0.09051395031256343,0.059531016441689476,0.04079913684255587,0.001636427686323813,0.0799171216078162,0.037575969093606186,0.04136721197566715,0.0031130453647144566,0.6086956521739131,0.6086956521739131,0.6444444444444445,0.6444444444444445,0.6086956521739131,1.0,0.6086956521739131,0.6086956521739131,0.5416666666666666,0.5102040816326531,7,covertype,vertical,0.2,0.2,5,16.0,0.75,10,Cover.Type,Wilderness.Area
6,50000,1.0,37,1.5672,0.870975007104328,0.9164852347296055,0.8704322755488583,-0.0005427315554697553,0.045510227625277434,0.001986863688905068,0.001959026742353639,0.0019302273328803705,0.0005715207641484802,0.001089304962659657,0.870975007104328,0.9164852347296055,0.8704322755488583,-0.0005427315554697776,0.045510227625277365,0.0019868636889050014,0.0019590267423536087,0.0019302273328803705,0.0005715207641485067,0.0010893049626595787,0.87562,0.91844,0.8747,-0.0009200000000000319,0.04281999999999997,0.0016557777628655444,0.0017760630619434554,0.0016552945357246824,0.0005706137047074634,0.0011548160026601652,0.09445024121160217,0.05163616437135003,0.03321024793429858,0.0012814247353844772,0.036224359750003966,0.0028983945742159477,0.13197308888469808,0.09831380444421237,0.045184712265136186,0.012579983672692358,0.06312741016524932,0.03408407029691949,0.20884866036439922,0.5960973121319615,0.0581765174666769,0.026788171771619712,0.28202791052187226,0.1727762909034606,0.046776851436063194,0.0035443830981834864,0.5416666666666666,0.48,0.574468085106383,0.6818181818181818,0.574468085106383,0.6086956521739131,1.0,0.574468085106383,0.6086956521739131,0.5102040816326531,7,covertype,vertical,0.2,0.2,5,16.0,0.75,10,Cover.Type,Wilderness.Area
7,50000,1.0,37,1.5672,0.8978940555675774,0.9877392659469353,0.9013106833451087,0.0034166277775315333,0.08984521037935803,0.0029378548674416573,0.001024526659796713,0.003329743671649818,0.0013262811582462075,0.002656910869107587,0.8978940555675772,0.9877392659469353,0.9013106833451087,0.0034166277775316,0.08984521037935814,0.0029378548674415957,0.001024526659796689,0.003329743671649818,0.001326281158246222,0.0026569108691075374,0.9021199999999998,0.9876999999999999,0.9049400000000001,0.0028200000000000447,0.08558000000000003,0.0025825568725586765,0.0009570788891204308,0.0027383206532471754,0.0012718490476467778,0.0024334337878808535,0.04216389077793925,0.03658866726215255,0.19923526244636564,0.1344646076483597,0.09112234697350591,0.05913217612612287,0.012721433479266261,0.005384226959213915,0.3564891729649514,0.21497907740318184,0.005073142273860653,0.0004385318818590117,0.008213027250769526,0.0015234987344537106,0.056123840008638556,0.364658804484682,0.030857552420334798,0.02430597924597148,0.19800033140436799,0.15852443025400298,0.574468085106383,0.574468085106383,0.6444444444444445,0.5416666666666666,0.7619047619047619,0.6086956521739131,0.574468085106383,1.0,0.5102040816326531,0.6444444444444445,7,covertype,vertical,0.2,0.2,5,16.0,0.75,10,Cover.Type,Wilderness.Area
8,50000,1.0,37,1.5672,0.864706154564107,0.9651175538169143,0.8627048197325644,-0.002001334831542678,0.10041139925280715,0.0028153150329841953,0.001174079935773035,0.0033288677313522324,0.0014817012922769834,0.0021153722055278256,0.864706154564107,0.9651175538169143,0.8627048197325644,-0.0020013348315427227,0.10041139925280718,0.0028153150329841667,0.0011740799357730434,0.003328867731352212,0.0014817012922769435,0.002115372205527791,0.86908,0.9642799999999999,0.86676,-0.0023199999999999887,0.09519999999999998,0.0024358981916328074,0.0013541048703848597,0.002680746164783256,0.0012204917041913957,0.001882551460120042,0.15258767284050975,0.07374354299416246,0.027942714486428034,0.0030832545479982285,0.17215901063815184,0.1146818412575424,0.021585013569595066,0.004891044105483678,0.041706715362340684,0.028920209248083868,0.09853372760224377,0.06308044552002741,0.36122341825479753,0.21206268737925268,0.015272391029238885,0.0008833540694764365,0.08935945893639767,0.4970348539079166,0.0196298772802968,0.0016187669700562014,0.574468085106383,0.5102040816326531,0.574468085106383,0.574468085106383,0.5416666666666666,0.5416666666666666,0.6086956521739131,0.5102040816326531,1.0,0.6086956521739131,7,covertype,vertical,0.2,0.2,5,16.0,0.75,10,Cover.Type,Wilderness.Area
9,50000,1.0,37,1.5672,0.890749610891391,0.9821876898289486,0.8941188221675892,0.0033692112761980696,0.09143807893755751,0.002936238131068678,0.0011851148416586717,0.003075839798140719,0.0010031060297577019,0.0023671826079468216,0.890749610891391,0.9821876898289487,0.8941188221675892,0.0033692112761980254,0.09143807893755751,0.002936238131068708,0.0011851148416586776,0.0030758397981407015,0.0010031060297577678,0.0023671826079468728,0.8948599999999999,0.98216,0.8976200000000001,0.002760000000000007,0.08729999999999997,0.0025827117531772837,0.0010131140113531294,0.002691022110648655,0.0009156418513807435,0.0019544820285691943,0.017586716121506987,0.0025510801354420645,0.16462755644935737,0.1297036036949088,0.0680604960519404,0.045277374202015976,0.03273741829106182,0.018266800480987843,0.2522214878961823,0.15501463381371347,0.021615699015587592,0.004037254071044473,0.012932818407200359,0.006544480971490257,0.2711742286554045,0.22698555119754996,0.11584030583039509,0.059097150356749714,0.04320327328136356,0.35252207107609734,0.48,0.574468085106383,0.574468085106383,0.5102040816326531,0.574468085106383,0.5102040816326531,0.5102040816326531,0.6444444444444445,0.6086956521739131,1.0,7,covertype,vertical,0.2,0.2,5,16.0,0.75,10,Cover.Type,Wilderness.Area
