island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,prop_cols,c_clients,target_col,natural_col
0,46643,1.0,23,0.24183693158673328,0.7235900833556437,0.717837956097155,0.7235900833556437,0.0,-0.005752127258488726,0.002872181178521177,0.010343118164992553,0.002872181178521177,0.0,0.010059955246326257,0.7235900833556437,0.717837956097155,0.7235900833556437,0.0,-0.005752127258488749,0.002872181178521177,0.010343118164992605,0.002872181178521177,0.0,0.010059955246326299,0.8187158323507344,0.8177296601993781,0.8187158323507344,0.0,-0.0009861721513559907,0.003037469057470974,0.0023274380011529027,0.003037469057470974,0.0,0.001057682185318355,0.3981929270617385,0.4115491496414602,0.11390466778474098,0.10088941304965553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10180170639581772,0.10182156293098465,0.0,0.0,0.21747292244961502,0.21178579650122153,0.1686277763080878,0.17395407787667805,1.0,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.2,8,census,vertical,0.2,0.2,5,8.0,0.25,10,income,native-country
1,46643,1.0,23,0.24183693158673328,0.7159000664799613,0.7158656921787279,0.7159501269937721,5.006051381091225e-05,-3.437430123343077e-05,0.004691644690792614,0.008639512040152347,0.004739341750314885,7.714232997153316e-05,0.005696536029243088,0.7159000664799613,0.7158656921787279,0.7159501269937721,5.006051381086785e-05,-3.4374301233452977e-05,0.004691644690792614,0.00863951204015236,0.004739341750314886,7.714232997151303e-05,0.005696536029243085,0.8246328652588701,0.8237110086826027,0.8245256726337228,-0.0001071926251473787,-0.0009218565762675546,0.0037182091780347576,0.002605111611509286,0.0036420262022651144,0.00011742363758284591,0.001426266256060031,0.06425583465602838,0.05298577727748519,0.5113457715084759,0.5558898180875456,0.08242245485147626,0.07570534412023626,0.0,0.0,0.0,0.0,0.0926902369187164,0.0790428965673598,0.0519791389921583,0.0375589904506028,0.19730656307314476,0.19881717349677036,0.0,0.0,0.0,0.0,0.2,1.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,8,census,vertical,0.2,0.2,5,8.0,0.25,10,income,native-country
2,46643,1.0,7,0.24183693158673328,0.6403766495904413,0.6301659905865177,0.6402100548685291,-0.0001665947219122277,-0.010210659003923594,0.004210306289230285,0.0044528128216354485,0.004165212163617367,0.00022056866009119262,0.0039020111280100105,0.6403766495904413,0.6301659905865178,0.6402100548685291,-0.00016659472191220547,-0.010210659003923572,0.004210306289230285,0.004452812821635439,0.0041652121636174015,0.00022056866009117378,0.0039020111280100175,0.7831707578518599,0.7758816593418374,0.782506163575946,-0.0006645942759137657,-0.0072890985100224626,0.0024541259335412956,0.0033648241404118035,0.0026630410782472417,0.00022890080934784477,0.0032193498590805513,0.0,0.0,0.13735000982591472,0.14075043834090334,0.41774334631014787,0.5276845541395876,0.011466410331192157,0.00731122592630438,0.25122960868131705,0.15425722791842375,0.16939307287019442,0.16135180662290544,0.0,0.0,0.01281755198123368,0.008644747051875453,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.2,0.2,0.5,0.0,0.2,0.0,0.0,8,census,vertical,0.2,0.2,5,8.0,0.25,10,income,native-country
3,46643,1.0,22,0.24183693158673328,0.6562102361091474,0.6517855898417015,0.6562404240779791,3.0187968831629774e-05,-0.0044246462674459195,0.005333236063150677,0.014009778433783603,0.005286851228469031,6.037593766325955e-05,0.012050957208393229,0.6562102361091474,0.6517855898417015,0.6562404240779791,3.018796883160757e-05,-0.004424646267445964,0.005333236063150709,0.014009778433783605,0.005286851228469098,6.037593766321514e-05,0.012050957208393203,0.8143209347196914,0.8147068281702218,0.8143209347196914,0.0,0.00038589345053059444,0.003280444613503145,0.00302321212095197,0.003280444613503145,0.0,0.0004101431336629938,0.0,0.0,0.0,0.0,0.007328791981965292,0.004996048982554333,0.4266640621710624,0.468073632772352,0.0,0.0,0.18986526585728733,0.17473891153778823,0.0,0.0,0.01009432461722179,0.009264163058607675,0.1687120017248308,0.15673913821081936,0.1973355536476325,0.18618810543787837,0.0,0.0,0.2,1.0,0.0,0.5,0.0,0.2,0.2,0.2,8,census,vertical,0.2,0.2,5,8.0,0.25,10,income,native-country
4,46643,1.0,3,0.24183693158673328,0.5962305586221902,0.5991061553625665,0.5963811349823974,0.00015057636020714414,0.0028755967403762293,0.004936606194378705,0.004158143152888781,0.005558731505260803,0.0009432216358504067,0.007087144372494544,0.5962305586221902,0.5991061553625665,0.5963811349823974,0.00015057636020709975,0.002875596740376207,0.004936606194378733,0.0041581431528888175,0.005558731505260815,0.0009432216358504263,0.007087144372494568,0.773266159288241,0.7680137206560188,0.7722585486118556,-0.001007610676385462,-0.005252438632222134,0.0025060159410358962,0.002519733606959647,0.0032212052689022308,0.000759783262800729,0.002957428792720933,0.0,0.0,0.0,0.0,0.26542914218476354,0.15660123014903152,0.0,0.0,0.4167812833820381,0.6188856061246295,0.0,0.0,0.12211900253666279,0.07477737669066822,0.12541658744225287,0.08465201380656531,0.0,0.0,0.07025398445428266,0.06508377322910529,0.0,0.0,0.2,0.0,1.0,0.0,0.2,0.2,0.0,0.2,8,census,vertical,0.2,0.2,5,8.0,0.25,10,income,native-country
5,46643,1.0,22,0.24183693158673328,0.5773485136765224,0.5790069405380365,0.5773485136765224,0.0,0.001658426861514073,0.0034020023271914136,0.0035526729435675867,0.0034020023271914136,0.0,0.0019572922468641075,0.5773485136765224,0.5790069405380365,0.5773485136765224,0.0,0.001658426861514073,0.0034020023271914184,0.0035526729435675693,0.0034020023271914184,0.0,0.001957292246864095,0.7756243970414836,0.7756672740915425,0.7756243970414836,0.0,4.287705005898701e-05,0.0024653371656494904,0.002413524734665224,0.0024653371656494904,0.0,0.0007658086011144668,0.0,0.0,0.31245273920140576,0.29931665605992475,0.190568188063377,0.1917423467737216,0.08727665166562257,0.07732037740504935,0.0,0.0,0.382679989286522,0.40764114445881605,0.0,0.0,0.027022431783072752,0.02397947530248829,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.5,0.0,1.0,0.0,0.2,0.0,0.0,8,census,vertical,0.2,0.2,5,8.0,0.25,10,income,native-country
6,46643,1.0,18,0.24183693158673328,0.6532191266759118,0.6519876430497357,0.6534361767304093,0.00021705005449754733,-0.0012314836261760442,0.00661395434116339,0.011226615012292405,0.006744605479833832,0.0002947027816261482,0.010226361900931995,0.6532191266759118,0.6519876430497357,0.6534361767304093,0.00021705005449756953,-0.001231483626176022,0.006613954341163403,0.011226615012292355,0.006744605479833832,0.0002947027816261265,0.010226361900931976,0.7842426841033336,0.7783470897202273,0.7841140529531567,-0.00012863115017687222,-0.005895594383106472,0.004630622152872866,0.003267810734770701,0.0047683251025485785,0.00020785421191624325,0.0025815402677226676,0.23197030908513291,0.23317205649815037,0.12341171309343113,0.11485569283883704,0.0,0.0,0.0,0.0,0.10392143283352964,0.05011309327497897,0.0,0.0,0.3666668981281367,0.47883082970062507,0.14418353885511084,0.09425831713317755,0.029846108004658846,0.028770010554231073,0.0,0.0,0.5,0.2,0.0,0.0,0.2,0.0,1.0,0.2,0.2,0.0,8,census,vertical,0.2,0.2,5,8.0,0.25,10,income,native-country
7,46643,1.0,13,0.24183693158673328,0.634519945492448,0.636726368278931,0.6345398180374273,1.9872544979260276e-05,0.0022064227864830198,0.005911944233014081,0.005096397707251137,0.005954700892850466,0.00018809789167388756,0.004533946512606038,0.634519945492448,0.636726368278931,0.6345398180374273,1.9872544979282482e-05,0.0022064227864830423,0.005911944233014081,0.00509639770725112,0.005954700892850433,0.00018809789167386015,0.004533946512606039,0.7753885732661593,0.7739736306142136,0.7752813806410119,-0.0001071926251473565,-0.0014149426519455277,0.0026323156570986343,0.0019538484107731783,0.0025856318821950905,0.00013558913753531547,0.0008146639511201555,0.0,0.0,0.3579810229274573,0.35092058621352235,0.009271127186775231,0.004872986601082209,0.007631611482621878,0.0032854650462328557,0.10439101398166396,0.07205897536137615,0.012582699085701601,0.008591630405467314,0.10459687380259843,0.06990821384478361,0.40354565153318167,0.49036214252753557,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,1.0,0.0,0.0,8,census,vertical,0.2,0.2,5,8.0,0.25,10,income,native-country
8,46643,1.0,9,0.24183693158673328,0.6058098021343776,0.6060597098846576,0.605942780857782,0.00013297872340425342,0.0002499077502799762,0.002994822159131943,0.003321652855206278,0.003128228687136792,0.00017730496453900456,0.0003682662459030879,0.6058098021343776,0.6060597098846577,0.605942780857782,0.00013297872340425342,0.00024990775028004285,0.002994822159131931,0.0033216528552062873,0.0031282286871367826,0.00017730496453900456,0.0003682662459031222,0.8089398649372923,0.8090899346124987,0.8090041805123807,6.431557508843611e-05,0.00015006967520634352,0.0014422886218504929,0.0016000092749100952,0.0015089432397699973,8.575410011792406e-05,0.00022072312447183893,0.23285160080929773,0.23061962035094088,0.0,0.0,0.0,0.0,0.2304444462887701,0.2249415135180397,0.0,0.0,0.0,0.0,0.014562094698989567,0.014297567421282307,0.0,0.0,0.40442953109161595,0.4185657797065116,0.11771232711132669,0.11157551900322542,0.5,0.0,0.0,0.2,0.0,0.0,0.2,0.0,1.0,0.5,8,census,vertical,0.2,0.2,5,8.0,0.25,10,income,native-country
9,46643,1.0,8,0.24183693158673328,0.6496488494354217,0.6492055870240742,0.6497073139488595,5.846451343785031e-05,-0.00044326241134753366,0.002334552602784779,0.0029167099313712253,0.0024013450293760125,8.605482352976413e-05,0.0005853754195237842,0.6496488494354217,0.6492055870240742,0.6497073139488595,5.8464513437872514e-05,-0.00044326241134753366,0.002334552602784802,0.0029167099313712266,0.0024013450293760125,8.605482352976729e-05,0.0005853754195237559,0.8294565333905026,0.829242148140208,0.8294994104405617,4.2877050058942603e-05,-0.00021438525029477963,0.001187856805848014,0.0015022272947887217,0.0012005574016507696,5.251344716009038e-05,0.00036508492584254825,0.15888700146874846,0.1609676853082675,0.0,0.0,0.0,0.0,0.14182764703671047,0.13981618678739624,0.06580588973854548,0.06246168652736587,0.0,0.0,0.0,0.0,0.0,0.0,0.23013518882797154,0.2242819603649912,0.403344272928024,0.41247248101197914,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.5,1.0,8,census,vertical,0.2,0.2,5,8.0,0.25,10,income,native-country
