island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,prop_cols,c_clients,target_col,natural_col
0,46643,1.0,57,0.24183693158673328,0.7683445336525977,0.8320430969133443,0.7735593752287442,0.005214841576146578,0.06369856326074681,0.0036613556580952452,0.0064620802586984345,0.002628677755406639,0.0017450209133564813,0.0038257511224653383,0.7683445336525976,0.8320430969133445,0.7735593752287443,0.005214841576146667,0.06369856326074685,0.0036613556580952296,0.006462080258698372,0.0026286777554066754,0.0017450209133565257,0.003825751122465294,0.8484939436166791,0.8877264444206239,0.8503590952942439,0.0018651516775646027,0.03923250080394469,0.0012138825311945052,0.001978393739103311,0.001065475282648875,0.0004963377383552412,0.0031273804315678543,0.10729178690380162,0.4057397113363265,0.38858487175254103,0.29601150443047086,0.04871602861253122,0.02871122898836278,0.029567138026362978,0.010728799058102853,0.04054533911742388,0.02150399931952082,0.08044069806711975,0.05468063374663099,0.02858123813472317,0.011893258751483119,0.1847856134899443,0.11617880041749847,0.04934066431881954,0.02659226534464732,0.042146621576732476,0.027959798606956347,1.0,0.8,0.5,0.6363636363636364,0.5,0.6363636363636364,0.5,0.8,0.5,0.5,10,census,vertical,0.2,0.2,5,0.0,0.75,10,income,native-country
1,46643,1.0,53,0.24183693158673328,0.7705738621949619,0.8334970640523899,0.7744203245686072,0.0038464623736454095,0.06292320185742806,0.003568342783639783,0.0048560165225623115,0.0031612613833591112,0.001333852620920757,0.0038232210940216628,0.7705738621949619,0.8334970640523899,0.7744203245686072,0.0038464623736454316,0.06292320185742803,0.0035683427836398075,0.00485601652256229,0.0031612613833591975,0.0013338526209207657,0.003823221094021648,0.848258119841355,0.8889698788723335,0.8493300460928289,0.0010719262514739202,0.0407117590309787,0.0014454717831310989,0.002404940064295029,0.0014116906535023438,0.0010169185315151892,0.002527928476446982,0.37698619811537865,0.25839771218001917,0.14397926198808303,0.44083806114287344,0.04934637961946055,0.03281604482361866,0.03860759918190236,0.018170990831526575,0.02410224574578706,0.012469220781430385,0.037554457996809225,0.022192803106068942,0.02258682489361874,0.010558637946852394,0.1864399938184082,0.11675178117730585,0.043191428589269755,0.022580504923898258,0.07720561005128249,0.06522424308640631,0.8,1.0,0.5,0.6363636363636364,0.6363636363636364,0.5,0.5,0.8,0.6363636363636364,0.5,10,census,vertical,0.2,0.2,5,0.0,0.75,10,income,native-country
2,46643,1.0,53,0.24183693158673328,0.7290778637772451,0.8876953412888688,0.7329235991829884,0.0038457354057433333,0.15861747751162392,0.003753902190826691,0.0043876115066375,0.005054049838261122,0.00263902242329909,0.0055035040061232375,0.7290778637772451,0.8876953412888688,0.7329235991829884,0.0038457354057433333,0.15861747751162394,0.003753902190826691,0.004387611506637485,0.005054049838261122,0.00263902242329909,0.005503504006123253,0.8151355986708115,0.9208918426412263,0.8141923035695144,-0.000943295101297048,0.10575624397041479,0.003036106929720304,0.0020585449903154232,0.0042917763926602175,0.002107528048441563,0.004023137864547952,0.027081086594987137,0.012877467836163942,0.043597535114793584,0.015175282627116954,0.047969802335820114,0.39801567208607763,0.03384841665693592,0.010535970292368158,0.058148436584006334,0.03189474798384377,0.10250847603652369,0.06609693137831593,0.20789497226605813,0.12973595007473387,0.022288929227903844,0.008379079053195895,0.10787535907268905,0.0823185742758523,0.34878698611028225,0.24497032439233163,0.5,0.5,1.0,0.5,0.5,0.6363636363636364,0.6363636363636364,0.5,0.6363636363636364,0.8,10,census,vertical,0.2,0.2,5,0.0,0.75,10,income,native-country
3,46643,1.0,36,0.24183693158673328,0.7291751584037991,0.7869656159223017,0.7268053307804225,-0.002369827623376497,0.057790457518502605,0.0061954916868029765,0.006695896060097335,0.005396011739591554,0.002422189862965238,0.003089103873753696,0.7292194846449338,0.7869656159223016,0.7268053307804225,-0.0024141538645112482,0.05774613127736781,0.0062291290548030925,0.006695896060097299,0.005396011739591554,0.0024867815945272434,0.0030259951444076513,0.8231321685068067,0.8651945546146426,0.816679172472934,-0.006452996033872838,0.04206238610783579,0.0032983294428019306,0.002345143388620352,0.0032607707620651116,0.0015316172022289297,0.002358822367824917,0.05158124665496006,0.015515485319413066,0.10428140849923948,0.040770427355928694,0.05028424435711066,0.007665516136742783,0.07365103946841227,0.6265300146340201,0.1481662289472245,0.053423954851582287,0.04804817753188278,0.008374266782736318,0.14597705311884673,0.0805918081031282,0.2598568819965365,0.1306474085787502,0.04840571333529367,0.008057234862367762,0.06974800609049357,0.028423883375330743,0.6363636363636364,0.6363636363636364,0.5,1.0,0.6363636363636364,0.5,0.6363636363636364,0.8,0.5,0.6363636363636364,10,census,vertical,0.2,0.2,5,0.0,0.75,10,income,native-country
4,46643,1.0,38,0.24183693158673328,0.7585152758517306,0.8518079566386207,0.7577269919672553,-0.0007882838844752271,0.09329268078689015,0.005094070407682822,0.0024607796579743805,0.004651052903494143,0.000633072950277353,0.004332262885239414,0.7585152758517306,0.8518079566386207,0.7577269919672553,-0.0007882838844752715,0.09329268078689017,0.005094070407682816,0.0024607796579744034,0.004651052903494141,0.0006330729502774064,0.004332262885239378,0.8390824311287384,0.9004394897631043,0.8367885089505842,-0.0022939221781541398,0.06135705863436598,0.002912327162130235,0.001604885177164781,0.0027088999492317725,0.0010667685972451497,0.002361743270047435,0.03258237766695739,0.010171724301110735,0.030417129572000302,0.010741230715329089,0.052038056887266,0.02436295648458854,0.16473914157179984,0.07862713037694746,0.04921197475694333,0.4947785572517741,0.31039471532439783,0.17789227727242735,0.1750920261203789,0.10619958118874569,0.04281800152189447,0.017509462483887964,0.08634743293936095,0.05286004588073726,0.056359143639001054,0.026857034044451816,0.5,0.6363636363636364,0.5,0.6363636363636364,1.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5,10,census,vertical,0.2,0.2,5,0.0,0.75,10,income,native-country
5,46643,1.0,48,0.24183693158673328,0.7250961164371954,0.8236601605546214,0.7248412953866116,-0.0002548210505839199,0.09856404411742589,0.004948497776611732,0.00420656681908936,0.004804648754655435,0.0018442506646159664,0.007599636163461605,0.7250961164371954,0.8236601605546214,0.7248412953866116,-0.0002548210505838977,0.09856404411742592,0.0049484977766116895,0.004206566819089366,0.0048046487546554535,0.0018442506646159536,0.007599636163461548,0.8147282666952513,0.8797298745846286,0.8116411190910066,-0.003087147604244822,0.06500160788937723,0.001925413495064265,0.0018516730952246984,0.002206606468205539,0.0012489665913713683,0.003413104755053834,0.1261636308647634,0.07234679867766498,0.06146175722130974,0.02326283500363168,0.10734023345425221,0.049154611244299234,0.0376455226005124,0.008559642110993717,0.3306858311869203,0.18741242063367136,0.04438560718295281,0.5229918281378214,0.07021730701507108,0.030869901045576093,0.03805589314773441,0.01156429977053796,0.13479248277548173,0.08351606269186283,0.04925173455100192,0.010321600683940679,0.6363636363636364,0.5,0.6363636363636364,0.5,0.6363636363636364,1.0,0.5,0.5,0.6363636363636364,0.6363636363636364,10,census,vertical,0.2,0.2,5,0.0,0.75,10,income,native-country
6,46643,1.0,48,0.24183693158673328,0.7518515371109593,0.8894546474807303,0.7498691457776201,-0.001982391333339284,0.13760311036977102,0.004364036637569726,0.004984294825898203,0.004459999094652319,0.002337771266567393,0.004602102169638752,0.7518515371109593,0.8894546474807303,0.7498691457776201,-0.0019823913333393063,0.137603110369771,0.004364036637569689,0.004984294825898237,0.0044599990946523,0.002337771266567411,0.004602102169638756,0.8304427055418586,0.9210419123164326,0.8261550005359632,-0.004287705005895592,0.09059920677457393,0.0012229358513840124,0.0018274377807804669,0.001565746351078183,0.0020862670169497937,0.002780734546826637,0.030545974844176222,0.00897880051314501,0.028900325069581335,0.008384102127356765,0.2237889357020443,0.13843374325727492,0.1539393207671172,0.10876534922763863,0.11564841934111805,0.05760693215723378,0.05466284482272445,0.024700886806404008,0.04695163897471984,0.4422508065315813,0.03228073791402142,0.012414646831953983,0.08253350077629029,0.04208465919481191,0.2307483017882069,0.15638007335259957,0.5,0.5,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5,1.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,10,census,vertical,0.2,0.2,5,0.0,0.75,10,income,native-country
7,46643,1.0,51,0.24183693158673328,0.7069369407987424,0.7364971415120731,0.7063966532403215,-0.0005402875584206823,0.02956020071333094,0.0022913544307215468,0.0018004384350855448,0.0024278167713610594,0.000507382824941164,0.0009761348767787268,0.7069369407987421,0.7364971415120734,0.7063844263922439,-0.0005525144064983945,0.02956020071333103,0.0022913544307215797,0.0018004384350855294,0.002448052189033292,0.0005040106569129595,0.0009761348767787234,0.8232179226069245,0.8403473041054775,0.8210526315789473,-0.0021652910279772453,0.0171293814985529,0.0027273309282948464,0.0014954811899749439,0.0027858536325428805,0.000811838191821707,0.0029592931102790632,0.181816507697295,0.12964297874319627,0.16123854810336463,0.09860827079843311,0.040610482236704666,0.01127644031599995,0.2523931995724416,0.16613653930593247,0.07739109578424928,0.04714945430493021,0.038567511506752104,0.010310286322593534,0.053073862348094566,0.01893135045633339,0.1003057712117418,0.4765416142616997,0.04470446948558655,0.017320204084895312,0.04989855205376981,0.024082861405986068,0.8,0.8,0.5,0.8,0.6363636363636364,0.5,0.6363636363636364,1.0,0.5,0.5,10,census,vertical,0.2,0.2,5,0.0,0.75,10,income,native-country
8,46643,1.0,58,0.24183693158673328,0.725004067260073,0.8974661972459448,0.7222566612820905,-0.002747405977982398,0.17246212998587174,0.005630116781276109,0.0023273949059317636,0.005487723668179566,0.0035392629883694185,0.006168799052398113,0.725004067260073,0.8974661972459448,0.7222566612820908,-0.002747405977982398,0.17246212998587174,0.005630116781276122,0.0023273949059317753,0.005487723668179619,0.0035392629883694397,0.006168799052398134,0.8123914674670383,0.9268731911244507,0.8079965698359952,-0.004394897631042993,0.11448172365741238,0.0022813653072222976,0.0009810321525263064,0.003393387370339941,0.0025904268353723883,0.002697337933335026,0.022807188485427437,0.0075490984367337175,0.029662165345474417,0.007637171376825842,0.1990144659125976,0.1705669064287758,0.08500255001378565,0.04050881076918552,0.0833938219634059,0.04203205637865598,0.13007997055699677,0.08891825279188469,0.1421085406237242,0.09493779002182537,0.017525786074430758,0.0071316730456353825,0.04370480520330077,0.3733085806942,0.2467007058208564,0.16740966005627778,0.5,0.6363636363636364,0.6363636363636364,0.5,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5,1.0,0.6363636363636364,10,census,vertical,0.2,0.2,5,0.0,0.75,10,income,native-country
9,46643,1.0,39,0.24183693158673328,0.7309594071150605,0.8854179576613893,0.7278123066641398,-0.0031471004509206367,0.1544585505463289,0.004243246277414478,0.0039862551349472974,0.003319846597505674,0.002099258952503366,0.007675870814946819,0.7309594071150605,0.8854179576613893,0.7278123066641398,-0.0031471004509206367,0.15445855054632893,0.004243246277414539,0.003986255134947318,0.003319846597505701,0.002099258952503425,0.007675870814946895,0.817622467574231,0.9161110515596528,0.8127130453424805,-0.004909422231750482,0.09848858398542179,0.003597969604000351,0.003065484191333734,0.00332635832358025,0.00118281609811416,0.004977894404581896,0.031339722847213494,0.01398002992802227,0.04473041840339251,0.017455665129829854,0.29056838981231375,0.19091165700844043,0.13225221174214916,0.0741670891578489,0.06458716573021554,0.03667803253004276,0.03179348401415469,0.007667162772917456,0.18307423977978107,0.11322791327946084,0.02607285322477026,0.007993452619349934,0.13537435731099742,0.07671965562901406,0.060207157135011916,0.46119934194507345,0.5,0.5,0.8,0.6363636363636364,0.5,0.6363636363636364,0.6363636363636364,0.5,0.6363636363636364,1.0,10,census,vertical,0.2,0.2,5,0.0,0.75,10,income,native-country
