island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,prop_cols,c_clients,target_col,natural_col
0,95816,1.0,5,0.21253235367788262,0.5117531854340156,0.6600232084125437,0.5149932800670449,0.0032400946330293444,0.14827002297852798,0.0031580139257669565,0.0029259114455138383,0.003372256218229961,0.0007197227184535499,0.003587809639299083,0.5117352599727949,0.6600232084125437,0.5149932800670449,0.003258020094250047,0.1482879484397487,0.0031614782050104428,0.0029259114455138383,0.003372256218229947,0.0007360375110791883,0.0035649265923692673,0.7472552702984764,0.8111563347944062,0.7421102066374453,-0.005145063661031113,0.06390106449592983,0.002897178426033848,0.0012049219283967144,0.0025702392828390627,0.0005076345859743476,0.003478821400396601,0.11281380400503771,0.6978497363776232,0.10640423810190132,0.028583308299330618,0.4359432013183758,0.18681899113852768,0.060098575428461275,0.03247019365413432,0.021525919466039448,0.004475844883589618,0.0,0.0,0.0795011952585874,0.014517360694409278,0.0,0.0,0.09221816243688258,0.018597637550017174,0.09149490398471462,0.016686927402367994,1.0,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.3333333333333333,4,vehicle-loan-default,vertical,0.2,0.2,5,2.0,0.25,10,loan.default,branch.id
1,95816,1.0,4,0.21253235367788262,0.504046416629856,0.5039579883675829,0.5037940187170905,-0.0002523979127656784,-8.842826227331013e-05,0.0015039179032832746,0.0016966248466808377,0.0008270177787945806,0.0008574325067213282,0.00206562774942869,0.504046416629856,0.5039579883675829,0.5037940187170905,-0.00025239791276565615,-8.842826227326573e-05,0.0015039179032832835,0.00169662484668085,0.0008270177787945806,0.0008574325067213266,0.002065627749428675,0.7605823418910458,0.7474848674598205,0.7568252974326863,-0.003757044458359471,-0.013097474431225243,0.0010317631216834205,0.0024772376454915094,0.000645361086776882,0.0008190948390878373,0.002203504113310433,0.12663999458482003,0.04747801371871113,0.16792883718085388,0.6670729628488357,0.169515936593384,0.06358764529165978,0.022247528955088455,0.018621255935232103,0.013405116007209481,0.01069504595628264,0.01321328526605138,0.008660867685150139,0.14750347528232244,0.050671245536157566,0.0,0.0,0.20349366677951922,0.07724843255101588,0.13605215935075124,0.05596453047695495,0.14285714285714285,1.0,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,4,vehicle-loan-default,vertical,0.2,0.2,5,2.0,0.25,10,loan.default,branch.id
2,95816,1.0,4,0.21253235367788262,0.5022121724163855,0.5324766227532998,0.5026225089681402,0.0004103365517546198,0.030264450336914207,0.0024308381539776534,0.0034700913057024913,0.0024650937634927246,0.0007875073405876527,0.002791060655709891,0.5022121724163855,0.5324766227532998,0.5026225089681402,0.0004103365517546087,0.030264450336914238,0.0024308381539776508,0.00347009130570247,0.0024650937634926686,0.0007875073405876676,0.002791060655709898,0.7406700062617407,0.7607806303485702,0.7340325610519723,-0.0066374452097683004,0.02011062408682949,0.001643301046846459,0.0016417096000554182,0.0018727153459535007,0.00045776898767400313,0.0015537727406494813,0.13988583219719197,0.030959316577449297,0.22364970902934692,0.06468505416634829,0.14532936716191697,0.7917243879954821,0.11420177407047678,0.04130997741690037,0.0,0.0,0.0,0.0,0.11684655238191673,0.020410128475068234,0.006489319067545718,0.0017358617036748508,0.1399532336158817,0.02685095350450368,0.11364421247572329,0.02232432016057288,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.14285714285714285,4,vehicle-loan-default,vertical,0.2,0.2,5,2.0,0.25,10,loan.default,branch.id
3,95816,1.0,4,0.21253235367788262,0.5037398925445228,0.5022747634804698,0.5038421805820855,0.00010228803756269222,-0.001465129064052928,0.0013832182156672242,0.0016069116384587743,0.0017362539677837547,0.000567957953820824,0.00149914871187699,0.5037398925445228,0.50227476348047,0.5038421805820855,0.00010228803756269222,-0.001465129064052917,0.0013832182156672242,0.0016069116384587756,0.0017362539677837547,0.000567957953820824,0.0014991487118770212,0.7703193487789607,0.7685764975996661,0.7669797537048633,-0.0033395950740972903,-0.0017428511792945134,0.0006824371832298733,0.0016691451449404862,0.0005872179042636447,0.00043657901614173393,0.0018757952330151842,0.1766504179038936,0.07146812497493774,0.010397280785073073,0.003494163548572537,0.23305028926959898,0.059115425054757385,0.555184230365887,0.8561818907222325,0.013766167923508927,0.003937740489238367,0.0,0.0,0.010951613752038264,0.005802655210261575,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,1.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,4,vehicle-loan-default,vertical,0.2,0.2,5,2.0,0.25,10,loan.default,branch.id
4,95816,1.0,5,0.21253235367788262,0.49995361473726063,0.5000525871013828,0.49997816666458694,2.4551927326277313e-05,9.897236412218514e-05,1.6231460756614704e-05,0.000156184975581213,4.121278654133343e-05,4.9103854652554626e-05,0.0001447009353947642,0.49995361473726063,0.5000525871013829,0.49997816666458694,2.4551927326299516e-05,9.897236412217402e-05,1.6231460756614704e-05,0.0001561849755811684,4.1212786541375634e-05,4.910385465259903e-05,0.0001447009353947196,0.7873930285952828,0.7873512836568566,0.7874034648298893,1.0436234606547855e-05,-4.1744938426235834e-05,2.5563449622017812e-05,0.0001295102655603406,2.087246921309571e-05,2.087246921309571e-05,0.00011621299024902483,0.051158314939411455,0.05120329867792719,0.06314990340348052,0.08907824245354022,0.0,0.0,0.060965354298417304,0.05308972607950293,0.4643445329558097,0.5445485373375802,0.2492204171149715,0.13026269049460037,0.0,0.0,0.0,0.0,0.06250439466846584,0.08998515649503593,0.04865708261944372,0.04183234846181313,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,1.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,4,vehicle-loan-default,vertical,0.2,0.2,5,2.0,0.25,10,loan.default,branch.id
5,95816,1.0,23,0.21253235367788262,0.4999554840742494,0.5006243341503807,0.4999157252776157,-3.975879663374871e-05,0.0006688500761311555,0.00012226520644721177,0.00047231480712264134,0.00017296087370022027,9.164668144022618e-05,0.0005290132932883084,0.4999554840742494,0.5006243341503807,0.4999157252776157,-3.975879663375981e-05,0.0006688500761311445,0.0001222652064472212,0.0004723148071226388,0.0001729608737002436,9.164668144024025e-05,0.0005290132932883297,0.786944270507201,0.7855979962429556,0.7868816530995617,-6.261740763930934e-05,-0.0013462742642454284,0.000300665002940696,0.00027493090946188563,0.00031551276263475575,8.34898768524217e-05,0.0004553835155347728,0.0,0.0,0.020663231176677115,0.02582528486544376,0.0,0.0,0.0,0.0,0.1582328046002576,0.0783050935321993,0.5688808016533367,0.7297031035613705,0.004697207751359278,0.005026622600777754,0.004704795196615027,0.005218056119776308,0.22254012679134405,0.13250105959189756,0.020281032830410422,0.023420779728534895,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,4,vehicle-loan-default,vertical,0.2,0.2,5,2.0,0.25,10,loan.default,branch.id
6,95816,1.0,4,0.21253235367788262,0.5082981072857239,0.5276572474805153,0.5081762066655677,-0.00012190062015624559,0.019359140194791413,0.0022935192308975727,0.0021786221740465383,0.0020271427714469025,0.0006525602192096494,0.00441783614942764,0.5082981072857239,0.5276572474805153,0.5081762066655677,-0.00012190062015622338,0.019359140194791458,0.0022935192308976174,0.0021786221740465734,0.0020271427714468686,0.000652560219209693,0.004417836149427728,0.7022333542058025,0.7267376330619911,0.6893654769359214,-0.012867877269881034,0.024504278856188687,0.0027028840253649983,0.0030892664705182557,0.002955500367043654,0.0009059709628140092,0.0056416125952754755,0.08357966610479081,0.01767721942384071,0.17890054076223588,0.047352110217329914,0.10288864084644171,0.022984070701716493,0.01010363953041719,0.003994568062260317,0.0,0.0,0.0008534835012383387,6.4136887445529e-05,0.4181399206737617,0.8618435402772515,0.0008306891751162923,6.48846879597603e-05,0.11369654819953041,0.023700025045800856,0.09100687120646762,0.02231944469639503,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.0,0.14285714285714285,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,4,vehicle-loan-default,vertical,0.2,0.2,5,2.0,0.25,10,loan.default,branch.id
7,95816,1.0,4,0.21253235367788262,0.5077796957236743,0.505198759573702,0.5078435867009478,6.389097727332871e-05,-0.0025809361499723902,0.0020959036274615208,0.001764986459506731,0.00152173057917943,0.0005891171422081071,0.002763950323876749,0.5077796957236744,0.505198759573702,0.5078435867009478,6.38909772732843e-05,-0.0025809361499724128,0.0020959036274615464,0.001764986459506749,0.0015217305791794065,0.0005891171422081669,0.0027639503238767998,0.725808808182008,0.7387393028595283,0.7190774368607806,-0.00673137132122732,0.012930494677520343,0.0018896790607742966,0.0021227927149342174,0.0011473214904873115,0.0011756407861939987,0.0026016174411826946,0.0,0.0,0.0,0.0,0.0004464277365200661,0.0009315734688075375,0.0,0.0,0.0,0.0,0.0002916721073217141,0.00014798593037842057,0.00031365551970719284,0.00017401321795973074,0.600679787920053,0.918229482168093,0.00043692259956871636,0.0008489099947650548,0.3978315341168292,0.0796680352199963,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,1.0,0.14285714285714285,0.14285714285714285,4,vehicle-loan-default,vertical,0.2,0.2,5,2.0,0.25,10,loan.default,branch.id
8,95816,1.0,23,0.21253235367788262,0.5015255823485,0.5165736914197742,0.5015371416516379,1.1559303137853583e-05,0.015048109071274185,0.0023753332858179616,0.0016891001019958708,0.002081801266683567,0.0008228510168771458,0.0008121004289163484,0.5015255823485,0.5165736914197742,0.5015371416516379,1.1559303137853583e-05,0.015048109071274175,0.002375333285817941,0.0016891001019959165,0.002081801266683545,0.0008228510168771458,0.0008121004289162731,0.7209559590899602,0.7457002713420998,0.7135775412231268,-0.007378417866833642,0.024744312252139446,0.0011993045461552295,0.0009551292998244773,0.0010930679167419292,0.0009161325964247569,0.0004932708118595777,0.11071643351629215,0.030166217512796988,0.18987597982931964,0.07105209993402131,0.1373766808993345,0.03745924986019432,0.0,0.0,0.01752820088725225,0.0074393497932032805,0.12344088900186886,0.04712836162916374,0.1248514201281542,0.031636571972347594,0.008062462966338408,0.00282164014319024,0.16524446677914137,0.7360916327698905,0.12290346599229865,0.036204876385192014,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,0.14285714285714285,4,vehicle-loan-default,vertical,0.2,0.2,5,2.0,0.25,10,loan.default,branch.id
9,95816,1.0,5,0.21253235367788262,0.5201203085112117,0.5164662948372637,0.521526575423607,0.0014062669123952264,-0.0036540136739479532,0.002367381377019242,0.002625946159327437,0.001721874988351699,0.00182687047028511,0.003104152047380932,0.5201203085112117,0.5164662948372637,0.5215086499623863,0.0013883414511745907,-0.003654013673947909,0.002367381377019288,0.0026259461593274957,0.0017035139166489495,0.0018146383284511995,0.0031041520473810095,0.7330202462951366,0.7642767689417658,0.7191713629722396,-0.01384888332289711,0.031256522646629106,0.0015244048955549787,0.0018580015098533188,0.0016679701961183336,0.0011754554854148602,0.0017612208816304856,0.11621737489480491,0.00722590849460702,0.14590055551402206,0.021055153830782443,0.10948365537113743,0.00746031286164562,0.0,0.0,0.0275883240772938,0.0017166536907307285,0.012199198806484068,0.0017741643740792356,0.10232568384512201,0.006273800162328104,0.17871790091812834,0.013766825169142285,0.12100240053206743,0.00938953558674398,0.18656490604093995,0.9313376458299405,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,4,vehicle-loan-default,vertical,0.2,0.2,5,2.0,0.25,10,loan.default,branch.id
