island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,c_clients,prop_cols,target_col,natural_col
0,50000,1.0,25,1.5672,0.6338602702512455,0.6179380046354112,0.631597444006163,-0.0022628262450824057,-0.01592226561583441,0.004785463181524228,0.005437138685311406,0.0035568747321132106,0.0019279947313862675,0.0031218164750390935,0.6338602702512455,0.617938004635411,0.6315974440061632,-0.002262826245082383,-0.015922265615834475,0.004785463181524228,0.005437138685311439,0.0035568747321132366,0.001927994731386276,0.003121816475039085,0.6439199999999999,0.62946,0.64144,-0.002479999999999971,-0.014459999999999983,0.0048408263757338,0.005777404261430915,0.003916426943018324,0.0014797297050475394,0.003631308304179055,0.27775554845277617,0.9511773950017284,0.1523898367613178,0.006667873922842664,0.1692854487234548,0.017214875705591152,0.16922162319433295,0.0026942019666653916,0.23134754286811834,0.022245653403172288,1.0,0.25,0.3157894736842105,0.3888888888888889,0.3888888888888889,42,covertype,vertical,0.2,0.2,5,8.0,5,0.5,Cover.Type,Wilderness.Area
1,50000,1.0,25,1.5672,0.637968918238961,0.6173817813744071,0.6351075686512726,-0.0028613495876882887,-0.02058713686455369,0.0021513363939976906,0.003993389224625252,0.0022789048564025344,0.0008356904177859752,0.004787421511351239,0.637968918238961,0.6173817813744071,0.6351075686512726,-0.0028613495876882887,-0.020587136864553712,0.0021513363939976954,0.003993389224625252,0.002278904856402546,0.0008356904177859752,0.004787421511351248,0.64832,0.6298600000000001,0.6457200000000001,-0.00259999999999998,-0.01846000000000001,0.0026633813095387,0.003955553058675871,0.0028861046412075745,0.0009528903399657298,0.005474522810254797,0.16244887449943982,0.00701287385325734,0.2974456553908349,0.9534252718435509,0.19086819895459436,0.0184360687232396,0.2111124473610876,0.015168942387233517,0.1381248237940433,0.0059568431927186725,0.25,1.0,0.35135135135135137,0.25,0.25,42,covertype,vertical,0.2,0.2,5,8.0,5,0.5,Cover.Type,Wilderness.Area
2,50000,1.0,25,1.5672,0.8399336885931866,0.8131379556220655,0.8405191438828477,0.0005854552896610965,-0.026795732971121144,0.00262065292900485,0.002099022350903454,0.0027368960606690266,0.0007724486336649015,0.0030979128411962676,0.8399336885931866,0.8131379556220655,0.8405191438828477,0.0005854552896610299,-0.026795732971121235,0.0026206529290048568,0.0020990223509033813,0.002736896060668998,0.0007724486336649214,0.0030979128411962402,0.84404,0.8178599999999999,0.84358,-0.00046000000000001595,-0.026180000000000002,0.0023929897617833828,0.001928315326911009,0.0026932508238186694,0.0009068627239003473,0.0028138230221533226,0.0973302400706283,0.004515511886928446,0.14976818905571843,0.013157280102972246,0.6013851327037087,0.9690963758434858,0.11863249626003454,0.0011681940939794566,0.03288394190991011,0.012062638072634106,0.3157894736842105,0.35135135135135137,1.0,0.25,0.35135135135135137,42,covertype,vertical,0.2,0.2,5,8.0,5,0.5,Cover.Type,Wilderness.Area
3,50000,1.0,25,1.5672,0.6947616986774218,0.6779518482984809,0.6973679768177303,0.002606278140308582,-0.016809850378940894,0.0013417187972442112,0.0020047664441909287,0.0016458444659924944,0.001183376995668834,0.0027981529604069405,0.6947616986774218,0.6779518482984809,0.6973679768177303,0.0026062781403085157,-0.01680985037894096,0.0013417187972442509,0.002004766444190904,0.0016458444659924972,0.0011833769956688751,0.0027981529604068967,0.70792,0.69018,0.70638,-0.0015399999999999858,-0.017740000000000023,0.0014469277798148767,0.0025458986625551175,0.001665412861725315,0.0013836184445142627,0.0031129407318482593,0.18920564956666652,0.0026528805304879923,0.18775063397708108,0.019363482019674753,0.13912439501803614,0.001799906430941797,0.30685562389774035,0.9617493937217769,0.17706369754047588,0.014434337297118497,0.3888888888888889,0.25,0.25,1.0,0.25,42,covertype,vertical,0.2,0.2,5,8.0,5,0.5,Cover.Type,Wilderness.Area
4,50000,1.0,25,1.5672,0.7272260336471404,0.7062206864996909,0.7267514449812159,-0.00047458866592455797,-0.021005347147449414,0.004463587328471043,0.004658362700595507,0.004807165023222617,0.0009902819215391037,0.002154892761969013,0.7272260336471404,0.7062206864996912,0.7267514449812159,-0.00047458866592453575,-0.021005347147449373,0.0044635873284711094,0.004658362700595549,0.004807165023222573,0.0009902819215390707,0.0021548927619690042,0.7358600000000001,0.7134600000000001,0.7338,-0.002059999999999995,-0.022399999999999996,0.00407165813889134,0.0042358470227334645,0.004049197451347615,0.0009286549412994766,0.0015427248620541426,0.2717889038881253,0.04478344906035705,0.14177206803257794,0.0011299683420467111,0.044103639129000234,0.011235066279612486,0.17866988796505465,0.006433542718985895,0.36366550098524186,0.9364179735989978,0.3888888888888889,0.25,0.35135135135135137,0.25,1.0,42,covertype,vertical,0.2,0.2,5,8.0,5,0.5,Cover.Type,Wilderness.Area
