island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,c_clients,prop_cols,target_col,natural_col
0,50000,1.0,25,1.5672,0.6338602702512455,0.6363805795046001,0.6307181367628771,-0.003142133488368426,0.002520309253354691,0.004785463181524228,0.00374343955047397,0.004729305351573387,0.001018854233777839,0.006140312585611314,0.6338602702512455,0.6363805795046001,0.6307181367628771,-0.003142133488368448,0.002520309253354691,0.004785463181524228,0.00374343955047397,0.004729305351573421,0.0010188542337778443,0.006140312585611314,0.6439199999999999,0.6472199999999999,0.6408400000000001,-0.0030799999999999938,0.0032999999999999917,0.0048408263757338,0.003795470985266518,0.004783555163265094,0.0012006664815842566,0.005392958371802989,0.2576304898655787,0.9451619127156468,0.16520036371015834,0.006405281196686105,0.14314301479005415,0.005134979830440609,0.1807350306821464,0.0036544328732131524,0.2532911009520624,0.03964339338401339,1.0,0.25,0.3157894736842105,0.3888888888888889,0.3888888888888889,42,covertype,vertical,0.2,0.2,5,1.0,5,0.5,Cover.Type,Wilderness.Area
1,50000,1.0,25,1.5672,0.637968918238961,0.6234215356298346,0.6357181497983414,-0.002250768440619488,-0.014547382609126358,0.0021513363939976906,0.003772268155345673,0.002803991159072275,0.0012752521132132109,0.004047756376611587,0.637968918238961,0.6234215356298346,0.635741255158785,-0.0022276630801759236,-0.01454738260912638,0.0021513363939976954,0.003772268155345673,0.0028314503980085047,0.0012905586019464799,0.0040477563766115705,0.64832,0.6359600000000001,0.6460600000000001,-0.0022599999999999955,-0.012360000000000015,0.0026633813095387,0.002909707889118772,0.0031903604811995964,0.001364697768738534,0.0044481906433965,0.16000174898155714,0.015066036062398341,0.28210185189423226,0.9553496065993452,0.19808478233242202,0.005950232787746846,0.20155807198441847,0.016163259912096307,0.15825354480737017,0.007470864638413068,0.25,1.0,0.35135135135135137,0.25,0.25,42,covertype,vertical,0.2,0.2,5,1.0,5,0.5,Cover.Type,Wilderness.Area
2,50000,1.0,25,1.5672,0.8399336885931866,0.816826829071171,0.8407064960932713,0.0007728075000847489,-0.023106859522015567,0.00262065292900485,0.0019006755003901988,0.0026612314603109274,0.00038934974756796645,0.0037332219790537644,0.8399336885931866,0.816826829071171,0.8407064960932713,0.0007728075000847489,-0.02310685952201561,0.0026206529290048568,0.001900675500390206,0.0026612314603109135,0.0003893497475679616,0.003733221979053764,0.84404,0.8211999999999999,0.8436,-0.00043999999999999595,-0.02283999999999997,0.0023929897617833828,0.0011781341180018686,0.0024486731100741115,0.0005607138307550143,0.002873743203558768,0.10428502115662039,0.0030786687417036695,0.16051441663218108,0.01198400617826346,0.5802167307373987,0.9618589606509194,0.11675796495823809,0.001075966789190858,0.038225866515561736,0.022002397639922587,0.3157894736842105,0.35135135135135137,1.0,0.25,0.35135135135135137,42,covertype,vertical,0.2,0.2,5,1.0,5,0.5,Cover.Type,Wilderness.Area
3,50000,1.0,25,1.5672,0.6947616986774218,0.6876482132289106,0.6964610018015012,0.0016993031240793988,-0.007113485448511181,0.0013417187972442112,0.0015189836617755578,0.003011278697575147,0.0022938074970596193,0.001490085108293791,0.6947616986774218,0.6876482132289106,0.6964610018015012,0.0016993031240793099,-0.007113485448511226,0.0013417187972442509,0.0015189836617755293,0.003011278697575184,0.002293807497059718,0.0014900851082938296,0.70792,0.69854,0.70632,-0.0015999999999999793,-0.00938000000000001,0.0014469277798148767,0.0016835676404587858,0.0019301813386311422,0.0011575836902790026,0.001933287355775121,0.17802953010909175,0.008826721197745427,0.1719215393908543,0.016578863854238436,0.15721052681189843,0.0006418816878877694,0.29423995410506604,0.9402834356430947,0.1985984495830895,0.03366909761703364,0.3888888888888889,0.25,0.25,1.0,0.25,42,covertype,vertical,0.2,0.2,5,1.0,5,0.5,Cover.Type,Wilderness.Area
4,50000,1.0,25,1.5672,0.7272260336471404,0.7153029181190347,0.726636667718194,-0.0005893659289463171,-0.01192311552810581,0.004463587328471043,0.0053491408219862166,0.005634301287333362,0.0015975942467161264,0.004504740661075043,0.7272260336471404,0.7153029181190347,0.726636667718194,-0.0005893659289463393,-0.011923115528105854,0.0044635873284711094,0.005349140821986256,0.005634301287333349,0.0015975942467161043,0.004504740661075152,0.7358600000000001,0.72244,0.73344,-0.00242,-0.013419999999999987,0.00407165813889134,0.004818547498987636,0.004849989690710695,0.0018925115587493486,0.0045145985425062785,0.2854934235549252,0.0566522858743181,0.15984868338732755,0.0030099036989594207,0.031220265597958586,0.0030225948952068453,0.16855871287645524,0.008926664967250132,0.3548789145833335,0.9283885505642655,0.3888888888888889,0.25,0.35135135135135137,0.25,1.0,42,covertype,vertical,0.2,0.2,5,1.0,5,0.5,Cover.Type,Wilderness.Area
